n04403638	telescope, scope
n03074380	column, pillar
n12277578	common oak, English oak, pedunculate oak, Quercus robur
n03359137	flashlight, torch
n11669786	floret, floweret
n13194036	marginal wood fern, evergreen wood fern, leatherleaf wood fern, Dryopteris marginalis
n01987545	prawn
n07772274	chestnut
n02374149	equine, equid
n01565930	wren warbler
n04146862	school ship, training ship
n07744246	currant
n02811936	battlement, crenelation, crenellation
n02824319	belfry
n03485198	hand glass, hand mirror
n11960245	dahlia, Dahlia pinnata
n07772147	cashew, cashew nut
n03073694	columbarium, cinerarium
n04136161	sari, saree
n02028727	pectoral sandpiper, jacksnipe, Calidris melanotos
n02898711	bridge, span
n01961985	pearl oyster, Pinctada margaritifera
n11954161	Canada thistle, creeping thistle, Cirsium arvense
n02457408	three-toed sloth, ai, Bradypus tridactylus
n12083113	sobralia
n04306080	station
n01501160	skate
n10536416	rock star
n10588357	sheik, tribal sheik, sheikh, tribal sheikh, Arab chief
n04421872	thermometer
n10242328	Labourite
n03720163	map
n02431628	sambar, sambur, Cervus unicolor
n03103396	cooling tower
n02700064	alternator
n12506341	cabbage bark, cabbage-bark tree, cabbage tree, Andira inermis
n04112654	rotunda
n12402348	banyan, banyan tree, banian, banian tree, Indian banyan, East Indian fig tree, Ficus bengalensis
n03057920	coat hanger, clothes hanger, dress hanger
n01621127	owl, bird of Minerva, bird of night, hooter
n02418465	mountain goat, Rocky Mountain goat, Oreamnos americanus
n01786646	millipede, millepede, milliped
n02408429	water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
n02381004	buckskin
n02726305	apartment, flat
n01794158	turkey, Meleagris gallopavo
n03388043	fountain
n12822769	comfrey, cumfrey
n04531873	vest, waistcoat
n07767709	green olive
n02999936	chain
n04207343	shoulder bag
n04290079	spun yarn
n09733793	Tahitian
n07596967	confectionery
n02127482	bobcat, bay lynx, Lynx rufus
n03271574	electric fan, blower
n02904927	brogan, brogue, clodhopper, work shoe
n03731483	mattress cover
n10401331	parrot
n02951585	can opener, tin opener
n02042472	ivory gull, Pagophila eburnea
n01574560	purple grackle, Quiscalus quiscula
n02907873	brownstone
n03871724	packing box, packing case
n10145239	great-aunt, grandaunt
n03767966	mincer, mincing machine
n03698604	luxury liner, express luxury liner
n03368352	flowerbed, flower bed, bed of flowers
n01885498	numbat, banded anteater, anteater, Myrmecobius fasciatus
n02386853	carthorse, cart horse, drayhorse
n03492542	hard disc, hard disk, fixed disk
n02929289	buttress, buttressing
n03959701	plate, scale, shell
n04509417	unicycle, monocycle
n02859184	boater, leghorn, Panama, Panama hat, sailor, skimmer, straw hat
n12620196	rose, rosebush
n03082979	computer, computing machine, computing device, data processor, electronic computer, information processing system
n03837869	obelisk
n07900225	varietal, varietal wine
n04080705	resort hotel, spa
n02848523	blade, vane
n03901750	pawn
n11989869	oxeye daisy, ox-eyed daisy, marguerite, moon daisy, white daisy, Leucanthemum vulgare, Chrysanthemum leucanthemum
n02077658	fur seal
n10304914	medalist, medallist, medal winner
n12707781	citrus, citrus tree
n03904060	pedestal table
n03379828	footbridge, overcrossing, pedestrian bridge
n10577284	seller, marketer, vender, vendor, trafficker
n02084861	cur, mongrel, mutt
n13207335	American maidenhair fern, five-fingered maidenhair fern, Adiantum pedatum
n03967396	plotter
n03557360	ice hockey rink, ice-hockey rink
n04224543	sister ship
n10599806	singer, vocalist, vocalizer, vocaliser
n01853870	old squaw, oldwife, Clangula hyemalis
n11646694	bunya bunya, bunya bunya tree, Araucaria bidwillii
n11691857	lip
n02939185	caldron, cauldron
n02971167	car tire, automobile tire, auto tire, rubber tire
n12160857	acorn squash
n03836976	nylons, nylon stocking, rayons, rayon stocking, silk stocking
n04526964	ventilator
n04057047	razor
n02445004	river otter, Lutra canadensis
n02737660	arm
n07695965	sandwich
n03133878	Crock Pot
n14858292	litter
n02860640	bobby pin, hairgrip, grip
n01582856	Australian magpie
n02914991	building complex, complex
n10635788	sphinx
n12774299	balata, balata tree, beefwood, bully tree, Manilkara bidentata
n02106662	German shepherd, German shepherd dog, German police dog, alsatian
n05302499	mouth, oral cavity, oral fissure, rima oris
n12595699	bamboo palm, Raffia vinifera
n02812949	bayonet
n07852833	Camembert
n04162706	seat belt, seatbelt
n02101861	springer spaniel, springer
n10153594	gymnast
n07832902	dressing, salad dressing
n03366823	floor cover, floor covering
n03227317	double knit
n01572654	Bullock's oriole, Icterus galbula bullockii
n04390977	tap, spigot
n07607605	lollipop, sucker, all-day sucker
n03637181	lamppost
n03419014	garment
n03272383	electric lamp
n07866015	croquette
n02299157	tobacco hornworm, tomato worm, Manduca sexta
n03703945	Mae West, air jacket
n02715712	antiaircraft, antiaircraft gun, flak, flack, pom-pom, ack-ack, ack-ack gun
n01819465	pink cockatoo, Kakatoe leadbeateri
n04026180	purl, purl stitch
n03039015	clavier, Klavier
n02561108	pike
n12084555	European ladies' tresses, Spiranthes spiralis
n03700963	machine, simple machine
n04492375	truss
n02123242	tortoiseshell, tortoiseshell-cat, calico cat
n04289690	sprocket, sprocket wheel
n11613459	western white pine, silver pine, mountain pine, Pinus monticola
n02010453	night heron, night raven
n10435988	pitcher, hurler, twirler
n07686720	sour bread, sourdough bread
n01591005	European nuthatch, Sitta europaea
n04251701	snowbank, snow bank
n07817315	coriander, Chinese parsley, cilantro
n03706229	magnetic compass
n01562451	bluethroat, Erithacus svecicus
n02610664	parrotfish, polly fish, pollyfish
n07921239	Turkish coffee
n11906917	blue poppy, Meconopsis betonicifolia
n04398044	teapot
n01583209	butcherbird
n12882779	foxglove, digitalis
n10120671	gardener
n07832416	pesto
n04177931	settlement house
n07751004	peach
n03787523	mortise joint, mortise-and-tenon joint
n03788601	motel room
n02981911	catapult, arbalest, arbalist, ballista, bricole, mangonel, onager, trebuchet, trebucket
n04390873	tannoy
n02581957	dolphinfish, dolphin, mahimahi
n06415688	jotter
n03610098	keep, donjon, dungeon
n02793842	barn door
n03563460	impeller
n07683490	chapatti, chapati
n02865665	bolt
n10317007	military officer, officer
n03322704	farmer's market, green market, greenmarket
n04168199	Segway, Segway Human Transporter, Segway HT
n02403454	cow, moo-cow
n02557749	walleye, walleyed pike, jack salmon, dory, Stizostedion vitreum
n01888411	doe
n02439033	giraffe, camelopard, Giraffa camelopardalis
n01858906	cygnet
n02008497	great blue heron, Ardea herodius
n04140064	saw
n03071160	colonnade
n07763792	loquat, Japanese plum
n04409625	tennis camp
n12650556	chokecherry, chokecherry tree, Prunus virginiana
n04582205	wicker, wickerwork, caning
n12806015	gooseberry, gooseberry bush, Ribes uva-crispa, Ribes grossularia
n10308168	board member
n02709101	anastigmat
n03938401	pillow block
n12591017	cabbage palm, Euterpe oleracea
n02453108	pachyderm
n11851258	nopal
n02865931	bolt, deadbolt
n02487547	rhesus, rhesus monkey, Macaca mulatta
n12547215	bluebonnet, buffalo clover, Texas bluebonnet, Lupinus subcarnosus
n03821518	newel post, newel
n11784126	flamingo flower, flamingo plant, Anthurium andraeanum, Anthurium scherzerianum
n12844939	coleus, flame nettle
n04358117	supercomputer
n07868955	gefilte fish, fish ball
n04131208	salon, beauty salon, beauty parlor, beauty parlour, beauty shop
n02932523	cabin car, caboose
n04235291	sled, sledge, sleigh
n07899003	vin ordinaire
n07817160	comfrey, healing herb
n09348460	massif
n03659292	lever
n12495895	honey locust, Gleditsia triacanthos
n08494231	amusement park, funfair, pleasure ground
n02051059	pied-billed grebe, Podilymbus podiceps
n01594968	cliff swallow, Hirundo pyrrhonota
n12435649	wild garlic, wood garlic, Ramsons, Allium ursinum
n07600696	candied apple, candy apple, taffy apple, caramel apple, toffee apple
n03124043	cowboy boot
n02932400	cabin
n04050066	rake
n04507155	umbrella
n02088238	basset, basset hound
n12877838	Mediterranean snapdragon, Antirrhinum majus
n11780148	cuckoopint, lords-and-ladies, jack-in-the-pulpit, Arum maculatum
n04495843	tugboat, tug, towboat, tower
n02834778	bicycle, bike, wheel, cycle
n04284341	spoon
n07804771	wild rice, Indian rice
n03313333	facade, frontage, frontal
n03159535	dairy, dairy farm
n12938193	sea holly, sea holm, sea eryngium, Eryngium maritimum
n02908217	brush
n09714694	Iraqi, Iraki
n12174521	marsh mallow, white mallow, Althea officinalis
n12585629	palmyra, palmyra palm, toddy palm, wine palm, lontar, longar palm, Borassus flabellifer
n09438844	snowcap
n03350204	fishbowl, fish bowl, goldfish bowl
n01754876	rattlesnake, rattler
n01323355	sire
n07579787	plate
n01859496	tundra swan, Cygnus columbianus
n01757677	massasauga, massasauga rattler, Sistrurus catenatus
n01821076	rainbow lorikeet, Trichoglossus moluccanus
n10078131	fancier, enthusiast
n12633638	apple tree
n03187595	dial telephone, dial phone
n03944138	pinwheel, pinwheel wind collector
n04117464	rudder
n06359193	web site, website, internet site, site
n04568069	weathervane, weather vane, vane, wind vane
n03200539	dining-hall
n12457091	lemon lily, Hemerocallis lilio-asphodelus, Hemerocallis flava
n12991184	reindeer moss, reindeer lichen, arctic moss, Cladonia rangiferina
n12823859	bindweed
n07678729	stuffing, dressing
n07753113	fig
n02880546	bowed stringed instrument, string
n12437930	red-hot poker, Kniphofia praecox
n03335030	fighter, fighter aircraft, attack aircraft
n04040373	radial engine, rotary engine
n13060190	jelly fungus
n04118538	rugby ball
n03347617	fire tower
n03941417	pinball machine, pin table
n04095109	Ritz
n03970156	plunger, plumber's helper
n11939699	common daisy, English daisy, Bellis perennis
n03483316	hand blower, blow dryer, blow drier, hair dryer, hair drier
n07704205	congee, jook
n01747589	copperhead, Denisonia superba
n03962852	platform bed
n04222470	single-breasted suit
n03791053	motor scooter, scooter
n03673027	liner, ocean liner
n12086192	blue orchid, Vanda caerulea
n12818346	Spanish elm, Equador laurel, salmwood, cypre, princewood, Cordia alliodora
n02190166	fly
n03075097	comb
n07876550	scampi
n10283170	major
n03268918	electrical cable
n04125257	safe-deposit, safe-deposit box, safety-deposit, safety deposit box, deposit box, lockbox
n02122298	kitty, kitty-cat, puss, pussy, pussycat
n03408054	fuselage
n10081204	Father, Padre
n12278371	post oak, box white oak, brash oak, iron oak, Quercus stellata
n01542786	weaver, weaverbird, weaver finch
n02025043	turnstone
n10542888	runner
n07582152	shrimp cocktail
n03011018	chatelaine
n07892813	white wine
n03545470	houseboat
n02807616	bathrobe
n12237641	mountain laurel, wood laurel, American laurel, calico bush, Kalmia latifolia
n02283201	moth
n02774921	baggage
n01826364	roller
n07936263	drinking water
n12267677	acorn
n04547592	wall
n02968473	carriage, equipage, rig
n10007684	designated hitter
n07717410	acorn squash
n03862676	oven
n03490119	hand truck, truck
n13206817	maidenhair, maidenhair fern
n03495258	harp
n09688804	Frank
n02876657	bottle
n10754189	vintner, wine merchant
n03938037	pillory
n03891251	park bench
n02605316	butterfly fish
n12602262	eriogonum
n02514041	barracouta, snoek
n01858845	pen
n12583126	fan palm
n03618982	kirk
n04065464	recreation room, rec room
n03499907	Hawaiian guitar, steel guitar
n04330340	stove, kitchen stove, range, kitchen range, cooking stove
n01678343	chuckwalla, Sauromalus obesus
n12263038	American chestnut, American sweet chestnut, Castanea dentata
n03870672	pack
n01823013	cuckoo
n09842047	basketball player, basketeer, cager
n02951358	canoe
n09734639	Tuareg
n02868638	bomb shelter, air-raid shelter, bombproof
n07587111	pottage
n03971218	plywood, plyboard
n12807773	California sycamore, Platanus racemosa
n12521394	common broom, Scotch broom, green broom, Cytisus scoparius
n10649197	starlet
n10727171	trawler
n03535780	horizontal bar, high bar
n03447721	gong, tam-tam
n12336727	snow gum, ghost gum, white ash, Eucalyptus coriacea, Eucalyptus pauciflora
n02054711	water turkey, Anhinga anhinga
n03318294	fairy light
n10498816	quarterback, signal caller, field general
n12810595	phlox
n01859689	whistling swan, Cygnus columbianus columbianus
n02949202	cane
n04283378	spoke, wheel spoke, radius
n12062626	Epipactis helleborine
n02042046	herring gull, Larus argentatus
n07695742	pretzel
n04438304	timer
n01994910	daphnia, water flea
n09847543	beldam, beldame
n02356977	black squirrel
n03590841	jack-o'-lantern
n03178430	derrick
n04370774	sweat suit, sweatsuit, sweats, workout suit
n04326896	stool
n07714448	bok choy, bok choi
n02992529	cellular telephone, cellular phone, cellphone, cell, mobile phone
n11990167	oxeye daisy, Leucanthemum maximum, Chrysanthemum maximum
n03397087	frieze
n01687665	agamid, agamid lizard
n03160309	dam, dike, dyke
n07877961	steak au poivre, peppered steak, pepper steak
n11666854	dicot, dicotyledon, magnoliopsid, exogen
n10274815	lowerclassman, underclassman
n11733054	delphinium
n03985232	portable computer
n10323634	mistress
n11690254	hypanthium, floral cup, calyx tube
n04590746	windshield wiper, windscreen wiper, wiper, wiper blade
n03911513	penitentiary, pen
n12865037	clary sage, Salvia clarea
n02817516	bearskin, busby, shako
n10441962	plenipotentiary
n12189429	red silk-cotton tree, simal, Bombax ceiba, Bombax malabarica
n02808185	bath salts
n09724656	Nicaraguan
n03476313	hairpin
n02114855	coyote, prairie wolf, brush wolf, Canis latrans
n11600372	cycad
n10315561	miler
n12070583	twayblade
n01918744	ctenophore, comb jelly
n07691237	cross bun, hot cross bun
n07760153	muscat, muscatel, muscat grape
n02492660	howler monkey, howler
n07873464	pilaf, pilaff, pilau, pilaw
n03151077	curtain, drape, drapery, mantle, pall
n11676500	pistil
n02946921	can, tin, tin can
n09838621	bantamweight
n03518445	highchair, feeding chair
n10289039	man
n01839330	downy woodpecker
n11728099	marsh marigold, kingcup, meadow bright, May blob, cowslip, water dragon, Caltha palustris
n02595702	red drum, channel bass, redfish, Sciaenops ocellatus
n04462240	toyshop
n03820318	net
n03964495	playpen, pen
n10602470	Sister
n11958080	cosmos, cosmea
n12987056	lichen
n02698634	alpenstock
n07915094	gin and tonic
n03973402	pocket flap
n03665924	light bulb, lightbulb, bulb, incandescent lamp, electric light, electric-light bulb
n01612122	sparrow hawk, American kestrel, kestrel, Falco sparverius
n11793779	calla lily, calla, arum lily, Zantedeschia aethiopica
n02098286	West Highland white terrier
n03229244	dowel, dowel pin, joggle
n12080395	butterfly orchid
n03098140	control panel, instrument panel, control board, board, panel
n01792429	cockerel
n04122349	sable, sable brush, sable's hair pencil
n03571280	inhaler, inhalator
n02325722	eastern cottontail, Sylvilagus floridanus
n04540255	volleyball net
n03942920	pinhead
n02705944	amplifier
n04056932	rayon
n10373390	officiant
n01959985	cockle
n03545756	house of cards, cardhouse, card-house, cardcastle
n04598318	woodshed
n03389761	four-wheel drive, 4WD
n02416820	kid
n11664418	ginkgo, gingko, maidenhair tree, Ginkgo biloba
n12113195	feather reed grass, feathertop, Calamagrostis acutiflora
n12180885	lacebark, ribbonwood, houhere, Hoheria populnea
n03801671	music school
n03485794	handkerchief, hankie, hanky, hankey
n09823502	aunt, auntie, aunty
n04402746	telephone system, phone system
n02825657	bell cote, bell cot
n04263257	soup bowl
n07616487	ice-cream sundae, sundae
n04263502	soupspoon, soup spoon
n03046133	cloche
n11615026	shore pine, lodgepole, lodgepole pine, spruce pine, Pinus contorta
n07749969	grapefruit
n04473108	transom, transom window, fanlight
n04272054	spectacles, specs, eyeglasses, glasses
n14976871	blacktop, blacktopping
n02095050	fox terrier
n02166567	Hippodamia convergens
n07750872	apricot
n10147935	groom, bridegroom
n04449290	tollbooth, tolbooth, tollhouse
n04404817	television antenna, tv-antenna
n01697178	crocodile
n02041246	gull, seagull, sea gull
n02770830	backseat
n07827750	poppy seed
n12836862	scorpionweed, scorpion weed, phacelia
n12821505	Virginia bluebell, Virginia cowslip, Mertensia virginica
n12729729	purple willow, red willow, red osier, basket willow, purple osier, Salix purpurea
n02971691	cartridge
n12091953	polyanthus, Primula polyantha
n06267893	tabloid, rag, sheet
n12353754	Abyssinian banana, Ethiopian banana, Ensete ventricosum, Musa ensete
n12090890	primrose, primula
n10603851	sitar player
n05218119	cadaver, corpse, stiff, clay, remains
n03842012	office building, office block
n07762913	durian
n02852043	bling, bling bling
n09827363	baby, babe, sister
n11900569	poppy
n04229816	ski mask
n12914923	verbena, vervain
n04223299	singlet, vest, undershirt
n11965218	fireweed, Erechtites hieracifolia
n03171356	defensive structure, defense, defence
n01893825	hedgehog, Erinaceus europaeus, Erinaceus europeaeus
n12649539	Japanese flowering cherry, Prunus sieboldii
n04269270	spark plug, sparking plug, plug
n02379908	Arabian, Arab
n13197274	oak fern, Gymnocarpium dryopteris, Thelypteris dryopteris
n03870105	pace car
n07903841	Cognac
n02643566	lionfish
n10009276	detective, investigator, tec, police detective
n12041446	orchid, orchidaceous plant
n02449350	glutton, Gulo gulo, wolverine
n10396106	panelist, panellist
n03525454	holder
n12785724	sedum
n03841143	odometer, hodometer, mileometer, milometer
n07880458	schnitzel, Wiener schnitzel
n04137217	satchel
n07696728	chicken sandwich
n01594004	fairy bluebird, bluebird
n04453156	toothbrush
n03362890	fleur-de-lis, fleur-de-lys
n04058096	reading room
n04023249	punch, puncher
n03141823	crutch
n07862611	beef Wellington, filet de boeuf en croute
n03108853	cork, bottle cork
n02018027	coot
n10620758	sociologist
n02886434	box wrench, box end wrench
n04578934	whisk
n03767112	millstone
n02892499	brasserie
n10411551	peddler, pedlar, packman, hawker, pitchman
n02814774	beachwear
n04543996	wainscot, wainscoting, wainscotting
n11844371	saguaro, sahuaro, Carnegiea gigantea
n02122580	stray
n09903501	cellist, violoncellist
n12047345	brassavola
n10040945	eager beaver, busy bee, live wire, sharpie, sharpy
n07756951	watermelon
n11786131	wild calla, water arum, Calla palustris
n01887623	bull
n12710415	clementine, clementine tree
n01753959	pit viper
n01791463	red jungle fowl, Gallus gallus
n03256032	Dumpster
n01791107	jungle fowl, gallina
n06267655	gazette
n01845132	waterfowl, water bird, waterbird
n11925898	marguerite, marguerite daisy, Paris daisy, Chrysanthemum frutescens, Argyranthemum frutescens
n02091032	Italian greyhound
n11807979	pink, garden pink
n07692614	sweet roll, coffee roll
n11925303	African daisy
n10634849	speedskater, speed skater
n04373089	switchblade, switchblade knife, flick-knife, flick knife
n01548865	eastern kingbird
n07731587	chicory escarole, endive, escarole
n12741222	soapberry, soapberry tree
n03223553	doorplate
n02063224	baleen whale, whalebone whale
n07720277	chard, Swiss chard, spinach beet, leaf beet
n02919792	bungalow, cottage
n07710616	potato, white potato, Irish potato, murphy, spud, tater
n01560280	thrush nightingale, Luscinia luscinia
n03430418	gazebo, summerhouse
n03163381	dashiki, daishiki
n13075020	Cortinarius corrugatus
n07728804	shell bean
n10667477	stylist
n01850873	canvasback, canvasback duck, Aythya valisineria
n12215022	honeypot, king protea, Protea cynaroides
n01639765	frog, toad, toad frog, anuran, batrachian, salientian
n03720891	maraca
n07924276	nectar
n14785065	bricks and mortar
n03079230	compact disk, compact disc, CD
n10629939	sparring partner, sparring mate
n04107743	room light
n12104734	goat grass, Aegilops triuncalis
n09376198	ocean
n04102406	roller coaster, big dipper, chute-the-chute
n07726095	chickpea, garbanzo
n09932098	pitching coach
n04180229	sewing room
n03544143	hourglass
n02056228	Adelie, Adelie penguin, Pygoscelis adeliae
n03219483	dollhouse, doll's house
n02946348	camper, camping bus, motor home
n12104501	herbage, pasturage
n13002925	false deathcap, Amanita mappa
n07592768	ratatouille
n03516367	herringbone, herringbone pattern
n07574602	breakfast
n03121431	courthouse
n02783994	baluster
n02997607	ceramic ware
n02221414	wood ant, Formica rufa
n03717622	manhole cover
n11849983	feather ball, Mammillaria plumosa
n02050586	black-necked grebe, eared grebe, Podiceps nigricollis
n03985881	portcullis
n11978233	sunflower, helianthus
n04233124	skyscraper
n01773797	garden spider, Aranea diademata
n09619168	female, female person
n01877134	kangaroo
n01944955	garden snail
n02924116	bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle
n03284743	enamel
n09433442	shore
n07757990	sour cherry
n10249270	lawgiver, lawmaker
n01752165	viper
n11943407	calendula
n11955153	bull thistle, boar thistle, spear thistle, Cirsium vulgare, Cirsium lanceolatum
n07700003	spaghetti
n09436708	sky
n09845401	beard
n04099175	rocket, rocket engine
n03935116	pig bed, pig
n01598588	shrike
n07721195	pimento, pimiento
n03849814	opera, opera house
n03175189	denim, dungaree, jean
n12755727	Japanese maple, full moon maple, Acer japonicum
n12061614	butterfly orchid, butterfly orchis, Epidendrum venosum, Encyclia venosa
n01744401	rock python, rock snake, Python sebae
n03252637	dry wall, dry-stone wall
n07817024	chives
n01495493	angel shark, angelfish, Squatina squatina, monkfish
n03722288	marketplace, market place, mart, market
n02585872	cichlid, cichlid fish
n09436444	ski slope
n09972458	cover girl, pin-up, lovely
n04501947	turret
n02797295	barrow, garden cart, lawn cart, wheelbarrow
n02873520	boot
n07606764	kiss, candy kiss
n03854722	organ loft
n04118021	rug, carpet, carpeting
n01811909	pigeon
n02277094	red-spotted purple, Limenitis astyanax
n01576695	starling
n12929403	camellia, camelia
n07734183	beefsteak tomato
n04252077	snowmobile
n02009380	snowy egret, snowy heron, Egretta thula
n04562262	water ski
n01664369	ridley
n03061505	cockpit
n02433318	fallow deer, Dama dama
n09732170	Sudanese
n02767038	baby powder
n11678010	cornstalk, corn stalk
n04063868	recording
n03988170	post
n03836451	nut and bolt
n04311595	steel mill, steelworks, steel plant, steel factory
n01732244	rat snake
n01905661	invertebrate
n11615967	longleaf pine, pitch pine, southern yellow pine, Georgia pine, Pinus palustris
n12452836	crown imperial, Fritillaria imperialis
n04261281	souk
n08521623	cemetery, graveyard, burial site, burial ground, burying ground, memorial park, necropolis
n01579578	jackdaw, daw, Corvus monedula
n01734418	king snake, kingsnake
n11971783	African daisy
n07601686	candy corn
n02689274	air gun, airgun, air rifle
n03397532	frill, flounce, ruffle, furbelow
n03008976	charger, battery charger
n04013729	prosthesis, prosthetic device
n03466839	guildhall
n03810952	national monument
n02102605	water spaniel
n02098550	sporting dog, gun dog
n08578517	benthos, benthic division, benthonic zone
n02129923	tigress
n04329834	storm door
n07808587	coleslaw, slaw
n12948251	bunchberry, dwarf cornel, crackerberry, pudding berry, Cornus canadensis
n02389779	burro
n12651821	fruit tree
n02954340	cap
n02212958	paper wasp
n04294426	stabilizer
n02389559	domestic ass, donkey, Equus asinus
n02490811	pygmy marmoset, Cebuella pygmaea
n04516672	utensil
n10209082	instigator, initiator
n01812337	dove
n02828427	belting
n04028764	pylon
n04560882	water jump
n02488291	langur
n03601840	joist
n03332989	field-emission microscope
n11808721	china pink, rainbow pink, Dianthus chinensis
n02820210	bedclothes, bed clothing, bedding
n03683708	locker room
n01564914	greater whitethroat, whitethroat, Sylvia communis
n05261310	thatch
n02097298	Scotch terrier, Scottish terrier, Scottie
n01615458	ern, erne, grey sea eagle, gray sea eagle, European sea eagle, white-tailed sea eagle, Haliatus albicilla
n01324431	carnivore
n01315805	range animal
n03844673	oil refinery, petroleum refinery
n04549919	ward, hospital ward
n01323599	thoroughbred, purebred, pureblood
n03267113	eight ball
n02892767	brassiere, bra, bandeau
n01611472	peregrine, peregrine falcon, Falco peregrinus
n07904395	gin
n02781121	ball gown
n03478589	half track
n04172342	semitrailer, semi
n03045800	cloakroom, coatroom
n04560292	watering can, watering pot
n02403003	ox
n09300905	hail
n01471682	vertebrate, craniate
n10575463	seeded player, seed
n12029635	coltsfoot, Tussilago farfara
n07605944	gumdrop
n01317294	draft animal
n04429376	throne
n04122492	sable coat
n02733213	arcade, colonnade
n11669921	flower
n07897865	Rioja
n02392434	Indian rhinoceros, Rhinoceros unicornis
n04130257	salad bowl
n10042845	eccentric, eccentric person, flake, oddball, geek
n03626115	knob, boss
n12344283	evening primrose
n08640739	resort area, playground, vacation spot
n02990373	ceiling
n11624531	spruce
n03540090	hose
n03636248	lamp
n01874928	opossum, possum
n02705201	amphitheater, amphitheatre
n02877266	bottle, feeding bottle, nursing bottle
n01613807	eaglet
n02380745	bronco, bronc, broncho
n03005285	chandelier, pendant, pendent
n09691729	Bahamian
n04141975	scale, weighing machine
n04242408	sloop
n03543603	hot tub
n04395024	tarpaulin, tarp
n01645776	true toad
n04043733	radio receiver, receiving set, radio set, radio, tuner, wireless
n01793249	pullet
n04566257	weaponry, arms, implements of war, weapons system, munition
n07837362	white sauce, bechamel sauce, bechamel
n03653740	lecture room
n12771390	Japanese persimmon, kaki, Diospyros kaki
n01860002	trumpeter, trumpeter swan, Cygnus buccinator
n03415252	gamp, brolly
n03818343	neon lamp, neon induction lamp, neon tube
n02904803	brocade
n03746005	menorah
n10711766	Timorese
n10559288	schoolchild, school-age child, pupil
n03141065	cruiser, police cruiser, patrol car, police car, prowl car, squad car
n11848479	night-blooming cereus
n09249034	col, gap
n02774630	baggage, luggage
n13173882	common polypody, adder's fern, wall fern, golden maidenhair, golden polypody, sweet fern, Polypodium vulgare
n12058630	marsh orchid
n03719053	mansion, mansion house, manse, hall, residence
n01564773	blackcap, Silvia atricapilla
n10382710	organ-grinder
n03692522	loupe, jeweler's loupe
n09841188	bartender, barman, barkeep, barkeeper, mixologist
n13001529	meadow mushroom, field mushroom, Agaricus campestris
n09618957	face
n03637318	lampshade, lamp shade
n04400737	telegraph key
n02037464	phalarope
n03266749	eiderdown, duvet, continental quilt
n10141732	granddaughter
n03529444	homespun
