n04403638	望遠鏡
n10542888	走者
n07582152	小エビのカクテル
n07892813	白ワイン
n02807616	バスローブ
n02283201	蛾
n12267677	団栗
n04547592	塀
n02968473	馬車
n10007684	指名打者
n03862676	オーヴン
n13206817	クジャクシダ
n03495258	竪琴
n02876657	瓶
n10754189	酒造家
n03938037	さらし台
n03891251	ろは台
n03618982	カーク
n04065464	娯楽室
n03499907	ハワイアンギター
n04330340	竈
n03870672	１束
n01823013	カッコウ
n02951358	カヌー
n09734639	ツアレグ
n02868638	防空壕
n07587111	羮
n04177931	隣保館
n03971218	合板
n12521394	エニシダ
n03535780	鉄棒
n03447721	タムタム
n03318294	豆電球
n10498816	クオーターバック
n12810595	フロックス
n01859689	コハクチョウ
n02949202	杖
n04283378	輻
n02042046	セグロカモメ
n07695742	プレッツェル
n04438304	タイマー
n01994910	ミジンコ
n09847543	老嫗
n03178430	デリック
n04370774	スエットスーツ
n04326896	腰掛け
n07714448	青梗菜
n02992529	移動電話
n11990167	フランスギク
n03397087	フリーズ
n03160309	防波堤
n11666854	双子葉植物
n10274815	ジュニア
n11733054	ヒエンソウ
n10323634	女主人
n04590746	ワイパー
n03911513	刑務所
n02817516	シャコー帽
n10441962	全権委員
n03476313	ヘアピン
n02114855	コヨーテ
n11600372	ソテツ
n10315561	マイラー
n01918744	有櫛動物
n07691237	ホットクロスバン
n07760153	マスカット
n02492660	ホエザル
n07873464	ピラフ
n03151077	覆い布
n11676500	雌蘂
n02946921	缶
n03518445	子供いす
n10289039	人間
n01839330	セジロコゲラ
n11728099	エンコウソウ
n04462240	玩具屋
n03820318	網
n10602470	シスター
n11958080	コスモス
n12987056	地衣類
n07915094	ジン・トニック
n03973402	垂れ
n01612122	アメリカチョウゲンボウ
n11793779	石芋
n02098286	ウエスト・ハイランド・ホワイト・テリア
n03229244	合い釘
n03098140	操作盤
n04122349	セーブル筆
n03571280	吸入器
n03942920	ピンヘッド
n02705944	アンプリファイアー
n04056932	人絹
n03545756	砂上
n04598318	薪小屋
n03389761	四駆
n02416820	子ヤギ
n11664418	鴨脚樹
n01961985	真珠貝
n03665924	電球
n03485794	鼻拭き
n09823502	叔母様
n04263257	汁椀
n07616487	サンデー
n07749969	グレープフルーツ
n04473108	欄間
n04272054	眼鏡
n14976871	アスファルト道路
n02095050	フォックステリヤ
n07750872	杏
n10147935	花婿
n04404817	テレビアンテナ
n01697178	クロコダイル
n02041246	鴎
n02770830	後席
n12729729	川やなぎ
n02971691	薬莢
n12091953	ポリアンサス
n12090890	サクラソウ
n05218119	骸
n07762913	ドリアン
n09827363	ベビー
n11900569	芥子
n04229816	目出し帽
n12914923	美女桜
n04223299	アンダーシャツ
n03171356	防衛
n01893825	ハリネズミ
n02379908	アラビア人
n07903841	コニャック
n02643566	ミノカサゴ
n10009276	目明し
n12041446	蘭
n02449350	健啖家
n10396106	パネリスト
n03525454	ホルダー
n12785724	ベンケイソウ科
n03841143	オドメーター
n07880458	シュニッツェル
n01594004	青い鳥
n04453156	歯刷子
n04058096	閲覧室
n04023249	ポンチ
n03141823	松葉杖
n03108853	コルク
n02018027	オオバン
n10620758	社会学者
n04578934	泡立て器
n03767112	石臼
n02892499	ブラスリー
n10411551	行商人
n02814774	ビーチウエア
n04543996	羽目板
n09903501	チェリスト
n10040945	がん張り
n07756951	スイカ
n01887623	雄
n01753959	蝮
n01791463	セキショクヤケイ
n03256032	ダストボックス
n06267655	学報
n01845132	水鳥
n11925898	マーガレット
n02091032	イタリアン・グレーハウンド
n07692614	スイートロール
n11925303	ガーベラ
n04373089	飛び出しナイフ
n01548865	オウサマタイランチョウ
n07731587	キクヂシャ
n12741222	無患子
n03223553	表札
n02063224	ヒゲクジラ亜目
n07720277	不断草
n07710616	ジャガイモ
n03430418	東屋
n10667477	スタイリスト
n01850873	オオホシハジロ
n01639765	蝦
n07924276	甘露
n03079230	シーディー
n04107743	車内灯
n09376198	遠海
n04102406	ジェットコースター
n07726095	ヒヨコマメ
n03544143	アワーグラス
n02056228	アデリーペンギン
n02946348	モーターホーム
n12104501	草
n07574602	朝餐
n03121431	裁判所
n02700064	オルタネーター
n02997607	陶器
n02221414	山蟻
n03717622	マンホールの蓋
n02050586	ハジロカイツブリ
n11978233	日回り
n04233124	高閣
n09619168	女性
n01877134	カンガルー
n02924116	二階建バス
n09433442	沿岸
n10249270	立法者
n07700003	スパゲッティ
n09436708	雲居
n04099175	ロケットエンジン
n01598588	モズ
n07721195	ピーマン
n03849814	歌劇場
n03175189	デニム
n01744401	アフリカニシキヘビ
n03252637	石壁
n07817024	アサツキ
n01495493	鮟鱇
n03722288	市庭
n02585872	シクリッド
n09436444	ゲレンデ
n09972458	カバーガール
n02797295	手押し車
n02873520	ブート
n07606764	キス
n04118021	絨緞
n01811909	鳩
n01576695	椋鳥
n12929403	ツバキ
n04252077	スノーモービル
n02009380	ユキコサギ
n03061505	操縦席
n02433318	ダマジカ
n04063868	記憶媒体
n03988170	棒杭
n04311595	製鋼所
n01732244	ナメラ属
n01905661	無脊椎動物
n12452836	王冠
n08521623	青山
n01579578	ニシコクマルガラス
n11971783	ガーベラ
n02689274	空気銃
n03397532	フリル
n02102605	ウォータースパニエル
n02098550	猟犬
n08578517	底生動物
n04329834	雨戸
n07808587	コールスロー
n12651821	生木
n02954340	鳥打ち帽
n02212958	アシナガバチ
n02389559	驢馬
n04516672	器具
n10209082	開祖
n01812337	鳩
n04028764	鉄塔
n04560882	ウォータージャンプ
n03601840	根太
n11808721	セキチク
n02820210	寝具類
n03683708	脱衣室
n02097298	スコッチテリア
n01615458	オジロワシ
n01324431	肉食獣
n04549919	病舎
n02892767	ブラジャー
n01611472	ハヤブサ
n07904395	ジン
n03045800	クローク
n04560292	じょうろ
n01471682	頭蓋動物
n07605944	ガムドロップ
n04429376	高御座
n02733213	柱廊
n11669921	観賞花
n04130257	サラダボウル
n10042845	酔狂人
n12344283	待宵草
n08640739	観光地
n02990373	天井
n11624531	エゾマツ
n03636248	電燈
n01874928	袋鼠
n02705201	円形劇場
n02877266	吸乳器
n03005285	ペンダント
n04141975	計量器
n04242408	スループ
n04043733	受信装置
n01793249	雌鳥
n04566257	軍需品
n07837362	ホワイトソース
n12771390	柿
n01860002	ナキハクチョウ
n03818343	ネオン管
n02904803	錦
n10559288	生徒
n03141065	パトロールカー
n11848479	月下美人
n09249034	鞍部
n02774630	旅行用鞄
n03692522	ルーペ
n09841188	バーテンダー
n13001529	ハラタケ
n09618957	顔
n03637318	秉燭
n10141732	孫娘
n03529444	ホームスパン
n07734292	プチトマト
n04098513	ロッカ
n03642806	ラップトップパソコン
n07737745	落花生
n02124484	マンクス猫
n07895839	メルロー
n07723559	レタス
n09913455	チアリーダー
n10393909	絵描き
n02310717	毛虫
n03018209	陶製
n01482330	鮫
n01563945	キクイタダキ
n01751472	タイパン
n03395859	フレネルレンズ
n02509815	レッサーパンダ
n02086910	パピヨン
n01558594	ブラックバード
n03007591	シリアルプリンター
n12070016	レリア
n12624381	ボケ
n01622352	木菟
n03732458	マキシ
n13001930	シイタケ
n03193597	ディーゼル機関車
n03991062	鉢
n02769075	バックグランド
n04356056	黒眼鏡
n01528654	タヒバリ
n03216828	ドック
n09638875	紅毛
n10084295	若女
n03604400	前掛け
n04197110	難破船
n06595351	雑誌
n03123917	カウベル
n02113186	カーディガン
n03770316	省の建物
n01851895	野ガモ
n06263609	印刷媒体
n11971248	ガザニア
n03120491	コート
n02729837	機械
n07914413	ダイキリ
n03508101	暖房器
n02806379	バット
n02381364	葦毛の馬
n04545858	ウォーキートーキー
n11710136	泰山木
n03039259	クレーピジョン
n02789487	酒場
n02398521	河馬
n03940256	ピン
n09238926	風穴
n04041069	放熱器
n04594218	鉄条
n09452395	湿原
n01816887	鸚鵡
n11736851	クロタネソウ
n02165456	瓢虫
n03548402	フラフープ
n02041678	鴎
n01915811	サンゴ
n03397947	フリスビー
n02910353	バックル
n07585557	チキンスープ
n04201297	障子
n11545524	シダ植物
n13035241	シャグマアミガサタケ
n02879718	洋弓
n02408817	水牛
n07804900	稲
n09622049	少年
n12433081	玉葱
n03592669	ジャロジー
n04400289	通信機器
n09245515	圏谷
n10439851	選手
n02486410	狒狒
n12063639	キンラン
n02311617	若虫
n01670802	ゾウガメ
n03837422	櫂
n04228693	ストッキングキャップ
n03732114	霊殿
n03452741	グランドピアノ
n03421485	ガーター編み
n12356023	ショウガ
n04519153	弁膜
n07755411	瓜
n03378174	フードプロセッサー
n10624540	作曲家
n04370048	セーター
n03933933	橋脚
n12532564	ダイズ
n03408444	敷き布団
n02960690	カラビナ
n04369282	あたり屋
n02709367	錨
n02412080	雄羊
n02219486	蟻
n04530566	船舶
n02691156	鵬翼
n03063689	コーヒーポット
n09409512	隆起線
n13032115	アミガサタケ
n07690892	スコーン
n03494278	ハーモニカ
n03115180	綿織物
n09906449	カメレオン
n03857687	オシログラフ
n11640132	メタセコイア
n02236241	蟷螂
n07874259	チーズピザ
n04250224	狙撃銃
n02042180	笑い鴎
n04297750	ステンドグラス窓
n07764155	マンゴー
n08616050	草原
n03786901	臼砲
n01317541	家畜
n02692086	プロペラ
n04447443	化粧品
n03463666	グラウンドシーツ
n09308572	氷山
n04021028	プルオーバー
n01526521	鳴鳥
n12752205	カエデ
n10384392	遺孤
n12134025	ライムギ
n11931918	アスター
n03294833	護謨
n02749479	アサルトライフル
n11821184	製氷所
n11973341	ゴム植物
n12475242	ムギワラギク
n01646292	蟇
n09727440	フィリピン人
n07745466	ラズベリー
n02456962	ナマケモノ
n07733712	アカザ
n04112752	頬紅
n03930630	ピックアップトラック
n01827403	翡翠
n11762433	鉛樹
n01806143	クジャクの雄
n04039848	電波探知機
n04332074	西洋剃刀
n09736945	ウガンダ共和国
n02372584	ハイラックス
n02747177	芥箱
n11788727	ポトス
n07710283	根菜
n11608250	松
n07735404	パースニップ
n10236304	身寄り
n04524142	跳馬
n02395003	豚
n07616046	フローズン・ヨーグルト
n02382948	競走馬
n04326799	石
n03416489	車舎
n13238375	スタペリア
n02404432	ロングホーン
n12429352	アガパンサス
n02889646	歯止め
n01859325	大白鳥
n12174311	葵
n04476116	網船
n07739125	林檎
n04187061	鞘
n04510706	自在継手
n01597906	ニシフウキンチョウ
n03727465	寝殿
n12739332	ヤドリギ
n04398688	ティースプーン
n02131653	熊
n02740533	装甲車
n04379964	卓子
n10150071	見張り
n08505018	未開墾地
n10611613	探偵
n02777734	露台
n04178329	世界の七不思議
n03613592	電鍵
n02402175	野牛
n04469813	架空索道
n12942395	パセリ
n02871439	本棚
n04217882	看板
n03484576	手錠
n01887787	雌牛
n07820145	ローズマリー
n04341686	結構
n03567066	恒温器
n02051845	伽藍鳥
n02195526	ウシアブ
n03429137	ガットリング砲
n03731695	引っ掻く
n09443641	泡
n04358707	スーパーマーケット
n09290444	渓間
n04354026	サマーハウス
n07584423	ボルシチ
n02940570	ナンバーディスプレー
n07715721	ペポカボチャ
n02746365	重砲
n04412097	レインフライ
n03478756	館
n03963645	遊び場
n02778456	梱
n02009508	コサギ
n03613294	鑰
n07920989	モカ
n09303528	丘陵の斜面
n02686121	エアバス
n02028451	コキアシシギ
n07568502	オートミール
n04108822	綱橋
n01673282	昔蜥蜴
n01579260	ワタリガラス
n03288500	機関室
n07868340	チャーハン
n12961879	薇
n01641577	ウシガエル
n03686924	丸太小屋
n04468005	電車
n12642090	オオシマザクラ
n09332890	湖岸
n07757312	西洋実桜
n02029706	マキバシギ
n03854815	管
n09772930	姦婦
n02946127	鐘楼
n02102040	イングリッシュ・スプリンガー・スパニエル
n07574923	ブランチ
n04285965	suv
n03794056	鼠捕り
n07679356	麺麭
n04581829	灯心
n02056728	コウテイペンギン
n02342885	ハムスター
n12731401	ポプラ
n02807731	風呂場
n02982232	石弓
n07624466	ターンオーバー
n02034971	クロエリセイタカシギ
n04317420	棒切れ
n09454153	がれ
n02836174	ビデ
n03351979	釣り竿
n09899671	被害者
n02770211	勝手口ポーチ
n07864934	チリコンカーン
n07693972	ビスケット
n02416519	野羊
n03906224	ペグボード
n04447861	便座
n04295881	闘技場
n02999410	鎖
n12795555	アワモリショウマ
n04564581	ろう人形
n02321529	ナマコ
n10718131	観光客
n03378005	フードコート
n07902799	アクアビット
n07758680	葡萄
n02071636	ゴンドウクジラ属
n02693246	エアターミナル
n12155009	アダン
n03140292	十字架像
n03616428	キックスタンド
n04282872	スプリットレール
n03875806	ペイントボール
n07927197	清涼飲料水
n04099003	ロッカーアーム
n07681450	ハラ
n10037385	飲助
n06793231	相図
n11720643	ミヤマキンポウゲ
n03207941	食洗機
n02343320	ゴールデンハムスター
n04186051	シェービングクリーム
n02739427	腕飾り
n02021795	海鳥
n04122685	匂い袋
n12043444	蘭
n01914609	イソギンチャク
n01848453	ミカヅキシマアジ
n11905392	花菱草
n04044716	電波望遠鏡
n12651611	セイヨウナシ
n03878066	館
n03170635	凍結器
n02835724	空気入れ
n04045397	筏
n02364520	モルモット
n02050313	カンムリカイツブリ
n01842235	ゴシキドリ亜科
n03678558	くず篭
n01855672	鵞鳥
n07749731	ライム
n04115456	ボート
n04185071	研ぎ
n07724943	食用豆
n01751748	ウミヘビ
n02037869	ハイイロヒレアシシギ
n03443912	ゴーグル
n02397096	イボイノシシ
n02113023	ペンブローク
n07805594	鳥餌
n04210390	霊殿
n07906111	ウォッカ
n01610955	鷹
n03051249	洗濯ばさみ
n03000247	鎖帷子
n04366367	釣り橋
n12921868	ハナキリン
n04456115	続松
n03066849	瀘過器
n04529962	尻尾
n07843775	乳製品
n08492461	アゴラ
n03823111	ペン先
n11542640	銭苔
n07869611	ジャンバライヤ
n10582746	軍卒
n03653833	ハーフパンツ
n04433585	枕木
n04356595	笠
n10756148	子爵
n01410457	アオミドロ
n07573696	食事
n12854600	タイマツバナ
n03125057	主基板
n09896170	漫画家
n15062057	ストゥッコ
n12421683	喇叭水仙
n10510245	少将
n03219135	人形
n03544360	館
n04363777	サーコート
n02920369	バンカー
n04270147	スパチュラ
n10638922	スポーツマン
n01622959	モリフクロウ
n03667664	露出計
n01695060	コモド大蜥蜴
n09836786	ピカドール
n01851038	ホシハジロ
n02953455	鞍尻
n04118776	規矩
n12172364	オクラ
n02864504	ボレロ
n03146846	耕作者
n10514429	審判員
n03699975	機械
n09263912	谷間
n03724417	マッシャー
n11719286	花王
n01848323	アメリカコガモ
n03279508	電子顕微鏡
n02108254	マスティフ
n03717447	マンホール
n02389346	驢馬
n12646740	ニワウメ
n04122825	買物袋
n02075296	肉食動物
n03436891	ギグ
n04281375	泥除
n09265620	下り坂
n02801184	バジリカ
n12683407	マツムシソウ
n07690273	マフィン
n02509515	鼻熊
n07882497	混合飲料
n01805801	孔雀
n12454159	チューリップ
n03773035	鏡鑑
n02537085	鱒
n07753592	バナナ
n03396074	フレット
n02359915	東部縞栗鼠
n02870526	綴り
n04197391	ワイシャツ
n03680942	鈍行
n02492035	オマキザル
n10153414	野郎
n03885535	食料貯蔵室
n01495701	エイ
n03718335	マノメーター
n03625355	編物
n01861778	哺乳動物
n04097866	ローブ
n01770393	蠍
n09326662	小丘
n09233446	渓谷
n02565324	大口バス
n03075946	コマンドモジュール
n13007417	ヒラタケ
n01559477	チャイロコツグミ
n03059685	蜘蛛の巣
n01804163	錦鶏
n02885882	切符売場
n02411705	羊
n07898745	テーブルワイン
n07858595	甘味料
n04209613	シャワー
n07803545	麦芽
n02018207	アメリカオオバン
n02776631	ベーカリー
n12638218	梅
n07606538	ミント
n02407390	ホルスタイン種
n04230808	スコート
n03682487	錠前
n03904657	ペディメント
n03038685	教室
n03788365	蚊帳
n12343480	フクシア
n01607962	ノスリ
n02377291	種馬
n03087366	コンデンサ
n03354903	旗影
n12590232	アブラヤシ
n10173771	ハー
n02694662	目覚時計
n03797182	襟巻き
n11783920	ベニウチワ
n02417387	アンゴラ
n03358726	ストロボ付きカメラ
n10357613	姪御さん
n11811473	ムシトリナデシコ
n04059516	リーマー
n03256166	ダンプ車
n12582231	椰子科
n04407686	神殿
n04319937	ピロティ
n07890540	ギネス
n01664990	タイマイ
n02688443	翼型
n02395694	子豚
n03859000	船外機
n07930554	ポンチ
n04164868	秘書
n02627532	黄肌
n01534155	ウソ
n01588002	チャイロツグミモドキ
n02727141	アパーチャ
n04286575	スポットライト
n03061674	操縦席
n01318894	愛玩動物
n03844815	オイルスキン
n03517760	ハイファイ
n04063373	レコーダー
n10202624	公務員
n03163222	フェイシア
n04154565	螺旋回し
n04387400	太鼓
n07696625	ハムサンド
n12950126	カノコソウ
n03263076	軒
n10146104	姪孫
n07847453	クロテッドクリーム
n04252560	スノースーツ
n03262809	画架
n12515925	雛豆
n07639069	ドーナツ
n10572706	国務長官
n02916179	ブルドーザー
n03547229	ホバークラフト
n10382825	オルガニスト
n02801450	バシリスク
n02195819	ツリアブ
n01726692	長蛇
n04225729	スケート
n04613015	ヨーク
n01617095	シロエリハゲワシ
n03321103	ファンジェット
n04258333	ソーラーヒーター
n01768244	三葉虫
n09728285	ルーマニア語
n04273796	速度計
n10020890	開業医
n01814921	伝書鳩
n02050809	カイツブリ
n04357314	日焼け止め
n03375575	フォイル
n03358380	閃光
n07826091	タバスコ
n10780632	裏方
n02767665	裏面
n02804252	テューバ
n01803078	雉子
n11618290	クロマツ
n04407435	院
n03639497	固定電話
n12831932	エピスシア
n04204081	買物袋
n01617766	エジプトハゲワシ
n07887634	ラガービール
n04431745	画鋲
n10129825	若女
n02859443	ボートハウス
n03345837	消火器
n01826680	西仏法僧
n02431976	日本鹿
n10247880	ラテン
n01849157	オナガガモ
n03206908	盤
n07901587	酒
n12350758	カンナ
n03888605	平行棒
n01580870	青懸巣
n09813219	モデル
n04354182	土俵
n04391838	テープ
n03020034	マイクロチップ
n02536456	マスノスケ
n03822767	ニュートン式望遠鏡
n03675235	ライノタイプ
n02460451	大蟻食い
n12055516	シンビジウム
n02370806	有蹄類
n02799323	ベースボールキャップ
n04134008	砂嚢
n09787765	大使
n10628644	帝王
n04189282	敷布
n09816771	仲間
n10079399	農夫
n02799175	野球バット
n04005630	鉄窓
n03572321	インク壺
n04458633	トーテムポール
n03711999	大檣
n04334599	表通り
n03291963	封筒
n01774750	タランチュラ
n03322940	農業機械
n07742704	漿果
n07684938	バナナパン
n03923379	アンプル
n03729826	軸木
n01787835	兜蟹
n04526964	換気扇
n09894445	心臓病専門医
n07735510	西洋南瓜
n01935395	孑孑
n02469472	オタマジャクシ
n02814860	燈台
n11980318	ムギワラギク
n03610418	樽
n02412440	小羊
n11953038	チコリー
n04177755	寝椅子
n10142391	祖父様
n02008796	白鷺
n07874780	ポリッジ
n07693725	ベーグル
n07920052	エスプレッソ
n01623110	アメリカフクロウ
n03148324	押込み
n04401680	電話室
n04432203	ティアラ
n09205509	鎌尾根
n02732827	樹木
n07682197	クルトン
n09217230	砂浜
n02909870	麻笥
n12034141	百日草
n11875691	キャベツ
n09684901	スワーミー
n02159955	虫螻
n13003061	ベニテングダケ
n03365592	床
n01940736	軟体動物
n07611046	コンポート
n10377021	老嫗
n03380867	靴
n02206856	ハナバチ
n12745386	ランブータン
n03744276	コンピューターメモリー
n07831267	トマトソース
n11969607	ブルーデージー
n04227900	焼き串
n07614500	ソフト
n12937130	ニンジン
n06596607	パルプマガジン
n03091374	繋ぎ
n01755581	ダイヤガラガラヘビ
n08524735	市
n02127808	大型ネコ科動物
n04376400	シンセサイザー
n04127249	安全ピン
n03086457	グランドピアノ
n03399677	玄関ポーチ
n12371439	キーウィ
n02483362	テナガザル
n02751295	天体望遠鏡
n03237416	トップハット
n03506184	主軸台
n03220513	穹窿
n02867715	爆撃機
n09918554	赤ん坊
n03820728	網状組織
n12451915	貝母
n10739391	無名戦士
n02916350	銃弾
n03878211	殿堂
n10694258	老師
n07879350	刺身
n11818069	ハコベ
n11792742	ザゼンソウ
n04062428	凭れ椅子
n02654425	箱河豚
n07718472	黄瓜
n07838905	マスタードソース
n04474466	羂
n03016737	コープ
n02391994	犀
n07890352	スタウト
n02010728	ゴイサギ
n03127203	クランクケース
n03487642	下がり
n12633994	リンゴ
n03002948	杯
n02898369	煉瓦造り
n07890226	ポーター
n11621281	椴
n02484322	猿猴
n03621377	台所用品
n02403325	種牛
n11910271	華鬘草
n01813948	山鳩
n02098413	ラサ
n02084071	飼犬
n03939178	水先船
n01858441	鵠
n12024445	セイヨウタンポポ
n02121808	飼い猫
n03903424	ペダル
n02405302	ヤク
n10622053	陸軍軍人
n04208427	スコップ
n04409384	長屋
n03840681	オカリナ
n12385429	モクセイソウ
n07867021	エンチラーダ
n03063338	コーヒーメーカー
n07730855	チコリー
n03819994	罔
n03222516	呼鈴
n09676247	パンジャビ
n07927931	コーラ
n02002556	シュバシコウ
n12367611	金糸梅
n02168245	蛍
n04095210	河船
n10183931	儀仗兵
n02172182	糞虫
n02190790	家蠅
n04404412	テレビシステム
n07911371	混合酒
n08584914	キャッシュサービスコーナー
n01486838	ナースシャーク
n07752966	カラント
n12685831	ハクサンフウロ
n07609840	甘味
n03854065	風琴
n02805983	牙城
n01829413	サイチョウ
n04532831	ビブラフォン
n03767203	水車の輪
n11879054	青梗菜
n10624310	歌い手
n05260240	束髪
n06785654	クロスワードパズル
n03289660	引き伸ばし機
n08628141	カスバ
n04231693	リフト
n01767661	節足動物
n02287004	フユシャク
n03666362	レッド
n04482393	三輪車
n02527622	アナゴ
n01455778	ヨウジウオ
n02180875	羽隠
n02447366	アナグマ
n09846469	ベドウィン
n10001481	煽動政治家
n02599958	ヒメジ
n10182190	宿無し
n01584225	ミソサザイ
n03686130	屋根裏部屋
n12127768	雄陽皺
n01496331	シビレエイ
n01570676	イエロースロート
n01543632	文鳥
n04520784	風見鶏
n12771192	カキ
n01582220	カササギ
n03633091	杓文字
n03646916	透かし彫り
n07815588	胡椒
n03219010	ドイリー
n12980840	べと病
n03450230	ドレス
n02353861	堀り鼠
n04525417	化粧張り
n10583387	開拓者
n07627931	パフペースト
n09247410	雲
n04371774	鞦韆
n01569060	ブラックバーン
n02683558	アフターバーナー
n10038409	公爵夫人
n12426623	ヤマユリ
n02537319	マス
n02761834	ホーン
n03788195	回教寺院
n04563204	水車
n12807409	アメリカ篠懸の木
n01536644	ウタスズメ
n08547544	頂点
n02858304	艇
n04277352	紡錘
n07913393	ブラッディーマリー
n03586219	鉄の肺
n03074855	櫛
n01531971	ベニヒワ
n02626762	鮪
n07884567	酒類
n01558993	コマツグミ
n02361337	モルモット
n03660909	書房
n02045864	オオハシウミガラス
n12909421	ペチュニア
n12578916	ササゲ
n01813385	山鳩
n09421799	砂州
n07590611	鍋
n12544539	扁豆
n11733312	飛燕草
n02065026	ナガスクジラ
n03889871	日傘
n01752736	アスプ鎖蛇
n03815149	首飾り
n02460009	蟻食い
n02885462	グローブ
n01503061	鳥類
n10318293	職工
n03541923	熱気球
n03124170	テンガロンハット
n07654148	丸焼き
n02483708	フクロテナガザル
n04437953	時辰儀
n03389889	4WD
n02087551	走狗
n13137409	果実
n07860988	生地
n04112252	回転翼
n02048353	エトピリカ
n03652100	鉛筆
n01594787	ツバメ
