n04403638	telescope
n02981911	catapult
n07683490	chapatti
n02865665	bolt
n10317007	military officer
n02403454	cow
n02439033	giraffe
n02008497	great blue heron
n04140064	saw
n03071160	colonnade
n07763792	loquat
n04582205	wicker
n10308168	board member
n02709101	anastigmat
n02453108	pachyderm
n02865931	bolt
n02487547	rhesus
n12844939	coleus
n07868955	gefilte fish
n04131208	salon
n04235291	sled
n07817160	comfrey
n03659292	lever
n08494231	amusement park
n02051059	pied-billed grebe
n01594968	cliff swallow
n07600696	candied apple
n03124043	cowboy boot
n02932400	cabin
n04050066	rake
n04507155	umbrella
n02088238	basset
n12877838	Mediterranean snapdragon
n04495843	tugboat
n02834778	bicycle
n04284341	spoon
n07804771	wild rice
n03313333	facade
n03159535	dairy
n02908217	brush
n09438844	snowcap
n03350204	fishbowl
n01754876	rattlesnake
n01323355	sire
n07579787	plate
n01859496	tundra swan
n10078131	fancier
n12633638	apple tree
n04117464	rudder
n06359193	web site
n04568069	weathervane
n12991184	reindeer moss
n07678729	stuffing
n07753113	fig
n02880546	bowed stringed instrument
n03335030	fighter
n04040373	radial engine
n03347617	fire tower
n04095109	Ritz
n11939699	common daisy
n03483316	hand blower
n04222470	single-breasted suit
n03791053	motor scooter
n02190166	fly
n07876550	scampi
n10283170	major
n04125257	safe-deposit
n02122298	kitty
n03408054	fuselage
n10081204	Father
n01542786	weaver
n02025043	turnstone
n10542888	runner
n07582152	shrimp cocktail
n07892813	white wine
n02807616	bathrobe
n02283201	moth
n12267677	acorn
n04547592	wall
n02968473	carriage
n10007684	designated hitter
n03862676	oven
n13206817	maidenhair
n03495258	harp
n02876657	bottle
n10754189	vintner
n03938037	pillory
n03891251	park bench
n03618982	kirk
n04065464	recreation room
n03499907	Hawaiian guitar
n04330340	stove
n03870672	pack
n01823013	cuckoo
n02951358	canoe
n09734639	Tuareg
n02868638	bomb shelter
n07587111	pottage
n04177931	settlement house
n03971218	plywood
n12521394	common broom
n03535780	horizontal bar
n03447721	gong
n03318294	fairy light
n10498816	quarterback
n12810595	phlox
n01859689	whistling swan
n02949202	cane
n04283378	spoke
n02042046	herring gull
n07695742	pretzel
n04438304	timer
n01994910	daphnia
n09847543	beldam
n03178430	derrick
n04370774	sweat suit
n04326896	stool
n07714448	bok choy
n02992529	cellular telephone
n11990167	oxeye daisy
n03397087	frieze
n03160309	dam
n11666854	dicot
n10274815	lowerclassman
n11733054	delphinium
n10323634	mistress
n04590746	windshield wiper
n03911513	penitentiary
n02817516	bearskin
n10441962	plenipotentiary
n03476313	hairpin
n02114855	coyote
n11600372	cycad
n10315561	miler
n01918744	ctenophore
n07691237	cross bun
n07760153	muscat
n02492660	howler monkey
n07873464	pilaf
n03151077	curtain
n11676500	pistil
n02946921	can
n03518445	highchair
n10289039	man
n01839330	downy woodpecker
n11728099	marsh marigold
n04462240	toyshop
n03820318	net
n10602470	Sister
n11958080	cosmos
n12987056	lichen
n07915094	gin and tonic
n03973402	pocket flap
n01612122	sparrow hawk
n11793779	calla lily
n02098286	West Highland white terrier
n03229244	dowel
n03098140	control panel
n04122349	sable
n03571280	inhaler
n03942920	pinhead
n02705944	amplifier
n04056932	rayon
n03545756	house of cards
n04598318	woodshed
n03389761	four-wheel drive
n02416820	kid
n11664418	ginkgo
n01961985	pearl oyster
n03665924	light bulb
n03485794	handkerchief
n09823502	aunt
n04263257	soup bowl
n07616487	ice-cream sundae
n07749969	grapefruit
n04473108	transom
n04272054	spectacles
n14976871	blacktop
n02095050	fox terrier
n07750872	apricot
n10147935	groom
n04404817	television antenna
n01697178	crocodile
n02041246	gull
n02770830	backseat
n12729729	purple willow
n02971691	cartridge
n12091953	polyanthus
n12090890	primrose
n05218119	cadaver
n07762913	durian
n09827363	baby
n11900569	poppy
n04229816	ski mask
n12914923	verbena
n04223299	singlet
n03171356	defensive structure
n01893825	hedgehog
n02379908	Arabian
n07903841	Cognac
n02643566	lionfish
n10009276	detective
n12041446	orchid
n02449350	glutton
n10396106	panelist
n03525454	holder
n12785724	sedum
n03841143	odometer
n07880458	schnitzel
n01594004	fairy bluebird
n04453156	toothbrush
n04058096	reading room
n04023249	punch
n03141823	crutch
n03108853	cork
n02018027	coot
n10620758	sociologist
n04578934	whisk
n03767112	millstone
n02892499	brasserie
n10411551	peddler
n02814774	beachwear
n04543996	wainscot
n09903501	cellist
n10040945	eager beaver
n07756951	watermelon
n01887623	bull
n01753959	pit viper
n01791463	red jungle fowl
n03256032	Dumpster
n06267655	gazette
n01845132	waterfowl
n11925898	marguerite
n02091032	Italian greyhound
n07692614	sweet roll
n11925303	African daisy
n04373089	switchblade
n01548865	eastern kingbird
n07731587	chicory escarole
n12741222	soapberry
n03223553	doorplate
n02063224	baleen whale
n07720277	chard
n07710616	potato
n03430418	gazebo
n10667477	stylist
n01850873	canvasback
n01639765	frog
n07924276	nectar
n03079230	compact disk
n04107743	room light
n09376198	ocean
n04102406	roller coaster
n07726095	chickpea
n03544143	hourglass
n02056228	Adelie
n02946348	camper
n12104501	herbage
n07574602	breakfast
n03121431	courthouse
n02700064	alternator
n02997607	ceramic ware
n02221414	wood ant
n03717622	manhole cover
n02050586	black-necked grebe
n11978233	sunflower
n04233124	skyscraper
n09619168	female
n01877134	kangaroo
n02924116	bus
n09433442	shore
n10249270	lawgiver
n07700003	spaghetti
n09436708	sky
n04099175	rocket
n01598588	shrike
n07721195	pimento
n03849814	opera
n03175189	denim
n01744401	rock python
n03252637	dry wall
n07817024	chives
n01495493	angel shark
n03722288	marketplace
n02585872	cichlid
n09436444	ski slope
n09972458	cover girl
n02797295	barrow
n02873520	boot
n07606764	kiss
n04118021	rug
n01811909	pigeon
n01576695	starling
n12929403	camellia
n04252077	snowmobile
n02009380	snowy egret
n03061505	cockpit
n02433318	fallow deer
n04063868	recording
n03988170	post
n04311595	steel mill
n01732244	rat snake
n01905661	invertebrate
n12452836	crown imperial
n08521623	cemetery
n01579578	jackdaw
n11971783	African daisy
n02689274	air gun
n03397532	frill
n02102605	water spaniel
n02098550	sporting dog
n08578517	benthos
n04329834	storm door
n07808587	coleslaw
n12651821	fruit tree
n02954340	cap
n02212958	paper wasp
n02389559	domestic ass
n04516672	utensil
n10209082	instigator
n01812337	dove
n04028764	pylon
n04560882	water jump
n03601840	joist
n11808721	china pink
n02820210	bedclothes
n03683708	locker room
n02097298	Scotch terrier
n01615458	ern
n01324431	carnivore
n04549919	ward
n02892767	brassiere
n01611472	peregrine
n07904395	gin
n03045800	cloakroom
n04560292	watering can
n01471682	vertebrate
n07605944	gumdrop
n04429376	throne
n02733213	arcade
n11669921	flower
n04130257	salad bowl
n10042845	eccentric
n12344283	evening primrose
n08640739	resort area
n02990373	ceiling
n11624531	spruce
n03636248	lamp
n01874928	opossum
n02705201	amphitheater
n02877266	bottle
n03005285	chandelier
n04141975	scale
n04242408	sloop
n04043733	radio receiver
n01793249	pullet
n04566257	weaponry
n07837362	white sauce
n12771390	Japanese persimmon
n01860002	trumpeter
n03818343	neon lamp
n02904803	brocade
n10559288	schoolchild
n03141065	cruiser
n11848479	night-blooming cereus
n09249034	col
n02774630	baggage
n03692522	loupe
n09841188	bartender
n13001529	meadow mushroom
n09618957	face
n03637318	lampshade
n10141732	granddaughter
n03529444	homespun
n07734292	cherry tomato
n04098513	rocker
n03642806	laptop
n07737745	peanut
n02124484	Manx
n07895839	Merlot
n07723559	lettuce
n09913455	cheerleader
n10393909	painter
n02310717	woolly bear
n03018209	china
n01482330	shark
n01563945	goldcrest
n01751472	taipan
n03395859	Fresnel lens
n02509815	lesser panda
n02086910	papillon
n01558594	blackbird
n03007591	character printer
n12070016	laelia
n12624381	flowering quince
n01622352	horned owl
n03732458	maxi
n13001930	shiitake
n03193597	diesel locomotive
n03991062	pot
n02769075	background
n04356056	sunglasses
n01528654	pipit
n03216828	dock
n09638875	White
n10084295	female child
n03604400	jumper
n04197110	shipwreck
n06595351	magazine
n03123917	cowbell
n02113186	Cardigan
n03770316	ministry
n01851895	wild duck
n06263609	print media
n11971248	gazania
n03120491	court
n02729837	appliance
n07914413	daiquiri
n03508101	heater
n02806379	bat
n02381364	grey
n04545858	walkie-talkie
n11710136	southern magnolia
n03039259	clay pigeon
n02789487	bar
n02398521	hippopotamus
n03940256	pin
n09238926	cave
n04041069	radiator
n04594218	wire
n09452395	swamp
n01816887	parrot
n11736851	love-in-a-mist
n02165456	ladybug
n03548402	hula-hoop
n02041678	mew
n01915811	coral
n03397947	Frisbee
n02910353	buckle
n07585557	chicken soup
n04201297	shoji
n11545524	pteridophyte
n13035241	false morel
n02879718	bow
n02408817	carabao
n07804900	paddy
n09622049	juvenile
n12433081	onion
n03592669	jalousie
n04400289	telecommunication system
n09245515	cirque
n10439851	player
n02486410	baboon
n12063639	rattlesnake plantain
n02311617	nymph
n01670802	giant tortoise
n03837422	oar
n04228693	ski cap
n03732114	mausoleum
n03452741	grand piano
n03421485	garter stitch
n12356023	common ginger
n04519153	valve
n07755411	melon
n03378174	food processor
n10624540	songwriter
n04370048	sweater
n03933933	pier
n12532564	soy
n03408444	futon
n02960690	carabiner
n04369282	swatter
n02709367	anchor
n02412080	ram
n02219486	ant
n04530566	vessel
n02691156	airplane
n03063689	coffeepot
n09409512	ridge
n13032115	morel
n07690892	scone
n03494278	harmonica
n03115180	cotton
n09906449	chameleon
n03857687	oscillograph
n11640132	metasequoia
n02236241	praying mantis
n07874259	cheese pizza
n04250224	sniper rifle
n02042180	laughing gull
n04297750	stained-glass window
n07764155	mango
n08616050	pasture
n03786901	mortar
n01317541	domestic animal
n02692086	airplane propeller
n04447443	toiletry
n03463666	groundsheet
n09308572	iceberg
n04021028	pullover
n01526521	songbird
n12752205	maple
n10384392	orphan
n12134025	rye
n11931918	aster
n03294833	eraser
n02749479	assault rifle
n11821184	ice plant
n11973341	gumweed
n12475242	strawflower
n01646292	bufo
n09727440	Filipino
n07745466	raspberry
n02456962	sloth
n07733712	lamb's-quarter
n04112752	rouge
n03930630	pickup
n01827403	kingfisher
n11762433	lead tree
n01806143	peacock
n04039848	radar
n04332074	straight razor
n09736945	Ugandan
n02372584	hyrax
n02747177	ashcan
n11788727	golden pothos
n07710283	root vegetable
n11608250	pine
n07735404	parsnip
n10236304	kin
n04524142	vaulting horse
n02395003	swine
n07616046	frozen yogurt
n02382948	racehorse
n04326799	stonework
n03416489	garage
n13238375	stapelia
n02404432	longhorn
n12429352	African lily
n02889646	brake
n01859325	whooper
n12174311	althea
n04476116	trawler
n07739125	apple
n04187061	sheath
n04510706	universal joint
n01597906	western tanager
n03727465	master bedroom
n12739332	mistletoe
n04398688	teaspoon
n02131653	bear
n02740533	armored vehicle
n04379964	table
n10150071	guard
n08505018	bush
n10611613	sleuth
n02777734	balcony
n04178329	Seven Wonders of the Ancient World
n03613592	key
n02402175	ox
n04469813	tramway
n12942395	parsley
n02871439	bookshelf
n04217882	signboard
n03484576	handcuff
n01887787	cow
n07820145	rosemary
n04341686	structure
n03567066	incubator
n02051845	pelican
n02195526	horsefly
n03429137	Gatling gun
n03731695	maul
n09443641	spume
n04358707	supermarket
n09290444	gorge
n04354026	summer house
n07584423	borsch
n02940570	caller ID
n07715721	summer squash
n02746365	artillery
n04412097	tent-fly
n03478756	hall
n03963645	playground
n02778456	bale
n02009508	little egret
n03613294	key
n07920989	mocha
n09303528	hillside
n02686121	airbus
n02028451	lesser yellowlegs
n07568502	oatmeal
n04108822	rope bridge
n01673282	tuatara
n01579260	raven
n03288500	engineering
n07868340	fried rice
n12961879	flowering fern
n01641577	bullfrog
n03686924	log cabin
n04468005	train
n12642090	wild cherry
n09332890	lakeside
n07757312	sweet cherry
n02029706	upland sandpiper
n03854815	organ pipe
n09772930	adulteress
n02946127	campanile
n02102040	English springer
n07574923	brunch
n04285965	sport utility
n03794056	mousetrap
n07679356	bread
n04581829	wick
n02056728	emperor penguin
n02342885	hamster
n12731401	poplar
n02807731	bathroom
n02982232	catapult
n07624466	turnover
n02034971	black-necked stilt
n04317420	stick
n09454153	talus
n02836174	bidet
n03351979	fishing rod
n09899671	casualty
n02770211	back porch
n07864934	chili
n07693972	biscuit
n02416519	goat
n03906224	pegboard
n04447861	toilet seat
n04295881	stadium
n02999410	chain
n12795555	spirea
n04564581	waxwork
n02321529	sea cucumber
n10718131	tourist
n03378005	food court
n07902799	aquavit
n07758680	grape
n02071636	pilot whale
n02693246	air terminal
n12155009	textile screw pine
n03140292	crucifix
n03616428	kickstand
n04282872	split rail
n03875806	paintball
n07927197	soft drink
n04099003	rocker arm
n07681450	challah
n10037385	drunkard
n06793231	sign
n11720643	meadow buttercup
n03207941	dishwasher
n02343320	golden hamster
n04186051	shaving cream
n02739427	armlet
n02021795	seabird
n04122685	sachet
n12043444	orchis
n01914609	sea anemone
n01848453	bluewing
n11905392	California poppy
n04044716	radio telescope
n12651611	pear
n03878066	palace
n03170635	deep-freeze
n02835724	bicycle pump
n04045397	raft
n02364520	cavy
n02050313	great crested grebe
n01842235	barbet
n03678558	litterbin
n01855672	goose
n07749731	lime
n04115456	rowing boat
n04185071	sharpener
n07724943	bean
n01751748	sea snake
n02037869	red phalarope
n03443912	goggles
n02397096	warthog
n02113023	Pembroke
n07805594	bird feed
n04210390	shrine
n07906111	vodka
n01610955	falcon
n03051249	clothespin
n03000247	chain mail
n04366367	suspension bridge
n12921868	crown of thorns
n04456115	torch
n03066849	colander
n04529962	vertical stabilizer
n07843775	dairy product
n08492461	agora
n03823111	nib
n11542640	liverwort
n07869611	jambalaya
n10582746	serviceman
n03653833	lederhosen
n04433585	tie
n04356595	sunhat
n10756148	viscount
n01410457	pond scum
n07573696	meal
n12854600	lemon balm
n03125057	CPU board
n09896170	caricaturist
n15062057	stucco
n12421683	daffodil
n10510245	rear admiral
n03219135	doll
n03544360	house
n04363777	surcoat
n02920369	bunker
n04270147	spatula
n10638922	sport
n01622959	tawny owl
n03667664	light meter
n01695060	Komodo dragon
n09836786	picador
n01851038	pochard
n02953455	cantle
n04118776	rule
n12172364	okra
n02864504	bolero
n03146846	cultivator
n10514429	referee
n03699975	machine
n09263912	defile
n03724417	masher
n11719286	peony
n01848323	greenwing
n03279508	electron microscope
n02108254	mastiff
n03717447	manhole
n02389346	ass
n12646740	flowering almond
n04122825	sack
n02075296	carnivore
n03436891	gig
n04281375	splashboard
n09265620	descent
n02801184	basilica
n12683407	scabious
n07690273	muffin
n02509515	coati
n07882497	concoction
n01805801	peafowl
n12454159	tulip
n03773035	mirror
n02537085	trout
n07753592	banana
n03396074	fret
n02359915	eastern chipmunk
n02870526	book
n04197391	shirt
n03680942	local
n02492035	capuchin
n10153414	guy
n03885535	pantry
n01495701	ray
n03718335	manometer
n03625355	knit
n01861778	mammal
n04097866	robe
n01770393	scorpion
n09326662	knoll
n09233446	canyon
n02565324	largemouth
n03075946	command module
n13007417	oyster mushroom
n01559477	hermit thrush
n03059685	cobweb
n01804163	golden pheasant
n02885882	box office
n02411705	sheep
n07898745	table wine
n07858595	sweetening
n04209613	shower stall
n07803545	wheat
n02018207	American coot
n02776631	bakery
n12638218	plum
n07606538	peppermint
n02407390	Friesian
n04230808	skirt
n03682487	lock
n03904657	pediment
n03038685	classroom
n03788365	mosquito net
n12343480	fuchsia
n01607962	buzzard
n02377291	stud
n03087366	condenser
n03354903	flag
n12590232	oil palm
n10173771	Herr
n02694662	alarm clock
n03797182	muffler
n11783920	anthurium
n02417387	Angora
n03358726	flash camera
n10357613	niece
n11811473	lychnis
n04059516	reamer
n03256166	dump truck
n12582231	palm
n04407686	temple
n04319937	stilt
n07890540	Guinness
n01664990	hawksbill turtle
n02688443	airfoil
n02395694	piglet
n03859000	outboard motor
n07930554	punch
n04164868	secretary
n02627532	yellowfin
n01534155	bullfinch
n01588002	brown thrasher
n02727141	aperture
n04286575	spotlight
n03061674	cockpit
n01318894	pet
n03844815	oilskin
n03517760	hi-fi
n04063373	recorder
n10202624	incumbent
n03163222	dashboard
n04154565	screwdriver
n04387400	tambourine
n07696625	ham sandwich
n12950126	valerian
n03263076	eaves
n10146104	great-niece
n07847453	clotted cream
n04252560	snowsuit
n03262809	easel
n12515925	chickpea
n07639069	doughnut
n10572706	Secretary of State
n02916179	bulldozer
n03547229	hovercraft
n10382825	organist
n02801450	basilisk
n02195819	bee fly
n01726692	snake
n04225729	skate
n04613015	yoke
n01617095	griffon vulture
n03321103	fanjet
n04258333	solar heater
n01768244	trilobite
n09728285	Romanian
n04273796	speedometer
n10020890	doctor
n01814921	homing pigeon
n02050809	dabchick
n04357314	sunscreen
n03375575	foil
n03358380	flash
n07826091	Tabasco
n10780632	wife
n02767665	back
n02804252	bass horn
n01803078	pheasant
n11618290	Japanese black pine
n04407435	temple
n03639497	land line
n12831932	episcia
n04204081	shopping bag
n01617766	Egyptian vulture
n07887634	lager
n04431745	thumbtack
n10129825	girl
n02859443	boathouse
n03345837	fire extinguisher
n01826680	European roller
n02431976	Japanese deer
n10247880	Latin
n01849157	pintail
n03206908	dish
n07901587	liquor
n12350758	canna
n03888605	parallel bars
n01580870	blue jay
n09813219	artist's model
n04354182	sumo ring
n04391838	tape
n03020034	chip
n02536456	chinook
n03822767	Newtonian telescope
n03675235	Linotype
n02460451	ant bear
n12055516	cymbid
n02370806	ungulate
n02799323	baseball cap
n04134008	sandbag
n09787765	ambassador
n10628644	sovereign
n04189282	sheeting
n09816771	associate
n10079399	farmhand
n02799175	baseball bat
n04005630	prison
n03572321	inkwell
n04458633	totem pole
n03711999	mainmast
n04334599	street
n03291963	envelope
n01774750	tarantula
n03322940	farm machine
n07742704	berry
n07684938	banana bread
n03923379	phial
n03729826	matchstick
n01787835	horseshoe crab
n04526964	ventilator
n09894445	cardiologist
n07735510	pumpkin
n01935395	earthworm
n02469472	tadpole
n02814860	beacon
n11980318	strawflower
n03610418	keg
n02412440	lamb
n11953038	chicory
n04177755	settee
n10142391	grandfather
n02008796	egret
n07874780	porridge
n07693725	bagel
n07920052	espresso
n01623110	barred owl
n03148324	cupboard
n04401680	telephone booth
n04432203	tiara
n09205509	arete
n02732827	arbor
n07682197	crouton
n09217230	beach
n02909870	bucket
n12034141	zinnia
n11875691	cabbage
n09684901	swami
n02159955	insect
n13003061	fly agaric
n03365592	floor
n01940736	mollusk
n07611046	compote
n10377021	old woman
n03380867	footwear
n02206856	bee
n12745386	rambutan
n03744276	memory
n07831267	tomato sauce
n11969607	blue daisy
n04227900	skewer
n07614500	ice cream
n12937130	wild carrot
n06596607	pulp
n03091374	connection
n01755581	diamondback
n08524735	city
n02127808	big cat
n04376400	synthesizer
n04127249	safety pin
n03086457	concert grand
n03399677	front porch
n12371439	Chinese gooseberry
n02483362	gibbon
n02751295	astronomical telescope
n03237416	dress hat
n03506184	headstock
n03220513	dome
n02867715	bomber
n09918554	child
n03820728	network
n12451915	fritillary
n10739391	Unknown Soldier
n02916350	bullet
n03878211	palace
n10694258	teacher
n07879350	sashimi
n11818069	common chickweed
n11792742	skunk cabbage
n04062428	recliner
n02654425	boxfish
n07718472	cucumber
n07838905	mustard sauce
n04474466	trap
n03016737	chicken yard
n02391994	rhinoceros
n07890352	stout
n02010728	black-crowned night heron
n03127203	crankcase
n03487642	hand-me-down
n12633994	apple
n03002948	chalice
n02898369	brickwork
n07890226	porter
n11621281	amabilis fir
n02484322	monkey
n03621377	kitchenware
n02403325	bull
n11910271	bleeding heart
n01813948	Australian turtledove
n02098413	Lhasa
n02084071	dog
n03939178	pilot boat
n01858441	swan
n12024445	common dandelion
n02121808	domestic cat
n03903424	pedal
n02405302	yak
n10622053	soldier
n04208427	shovel
n04409384	tenement
n03840681	ocarina
n12385429	reseda
n07867021	enchilada
n03063338	coffee maker
n07730855	chicory
n03819994	net
n03222516	doorbell
n09676247	Punjabi
n07927931	cola
n02002556	white stork
n12367611	St John's wort
n02168245	firefly
n04095210	river boat
n10183931	honor guard
n02172182	dung beetle
n02190790	housefly
n04404412	television
n07911371	mixed drink
n08584914	hole-in-the-wall
n01486838	nurse shark
n07752966	currant
n12685831	cranesbill
n07609840	dessert
n03854065	organ
n02805983	bastion
n01829413	hornbill
n04532831	vibraphone
n03767203	millwheel
n11879054	bok choy
n10624310	songster
n05260240	pompadour
n06785654	crossword puzzle
n03289660	enlarger
n08628141	kasbah
n04231693	ski tow
n01767661	arthropod
n02287004	geometrid
n03666362	light-emitting diode
n04482393	tricycle
n02527622	conger
n01455778	pipefish
n02180875	rove beetle
n02447366	badger
n09846469	Bedouin
n10001481	demagogue
n02599958	mullet
n10182190	homeless
n01584225	wren
n03686130	loft
n12127768	goose grass
n01496331	electric ray
n01570676	yellowthroat
n01543632	Java sparrow
n04520784	vane
n12771192	persimmon
n01582220	magpie
n03633091	ladle
n03646916	lattice
n07815588	pepper
n03219010	doily
n12980840	downy mildew
n03450230	gown
n02353861	gopher
n04525417	veneer
n10583387	settler
n07627931	puff paste
n09247410	cloud
n04371774	swing
n01569060	Blackburn
n02683558	afterburner
n10038409	duchess
n12426623	mountain lily
n02537319	brown trout
n02761834	automobile horn
n03788195	mosque
n04563204	waterwheel
n12807409	American sycamore
n01536644	song sparrow
n08547544	crest
n02858304	boat
n04277352	spindle
n07913393	Bloody Mary
n03586219	iron lung
n03074855	comb
n01531971	redpoll
n02626762	tuna
n07884567	alcohol
n01558993	robin
n02361337	marmot
n03660909	library
n02045864	razorbill
n12909421	petunia
n12578916	cowpea
n01813385	turtledove
n09421799	sandbank
n07590611	hot pot
n12544539	lentil
n11733312	larkspur
n02065026	finback
n03889871	parasol
n01752736	asp
n03815149	necklet
n02460009	anteater
n02885462	boxing glove
n01503061	bird
n10318293	mill-hand
n03541923	hot-air balloon
n03124170	cowboy hat
n07654148	barbecue
n02483708	siamang
n04437953	timepiece
n03389889	four-wheeler
n02087551	hound
n13137409	berry
n07860988	dough
n04112252	rotor blade
n02048353	tufted puffin
n03652100	lead pencil
n01594787	barn swallow
n12606438	commelina
n07867421	fondue
n03857828	oscilloscope
n07920222	caffe latte
n03443371	goblet
n12703557	creeping oxalis
n03788498	motel
n07574780	continental breakfast
n02846511	blackboard
n07691539	brioche
n02052204	white pelican
n03150232	curler
n15067877	tear gas
n04064401	record player
n07891433	sake
n12793015	saxifrage
n07927512	pop
n04594489	wire
n02731398	apse
n01560793	stonechat
n01593028	bushtit
n04610013	yacht
n02454379	armadillo
n07920872	mocha
n03845190	oil tanker
n03885904	pantyhose
n10275395	loyalist
n04156946	scull
n07579575	entree
n12645174	almond
n04399158	tea urn
n03836062	nursery
n12566954	kudzu
n07734744	mushroom
n09989502	dancer
n04592465	winery
n11926833	arnica
n02758960	autoclave
n02655848	porcupinefish
n03627232	knot
n11636204	Japanese cedar
n08517676	bus stop
n07842308	scrambled eggs
n02064816	blue whale
n04571566	weir
n01882714	koala
n02329401	rodent
n09210862	atoll
n12724942	willow
n03623556	knife
n03646296	lathe
n12733647	aspen
n07765361	guava
n02980441	castle
n03238879	dress shirt
n07684600	quick bread
n03409591	gable roof
n03963198	platter
n02791270	barbershop
n02501583	tarsier
n03527444	holster
n03467068	guillotine
n04571958	weld
n04296562	stage
n02010272	cattle egret
n07767847	pear
n06271778	telecommunication
n02431785	wapiti
n02788148	bannister
n09633969	wrongdoer
n03016389	chicken coop
n03367410	florist
n02672831	accordion
n02861387	bodice
n04590933	Windsor chair
n02880940	bowl
n09836160	bullfighter
n04392113	tape
n01324610	herbivore
n01323493	dam
n03072201	color television
n03261019	earflap
n01564217	ruby-crowned kinglet
n07734017	tomato
n13132656	panicle
n04289027	sprinkler
n01850553	Barrow's goldeneye
n07841907	Easter egg
n03706653	magnetic disk
n02969323	carriageway
n13223710	ground fir
n04173046	septic tank
n04603729	worktable
n04553703	washbasin
n04606251	wreck
n11789066	skunk cabbage
n03782190	monitor
n03445777	golf ball
n03352628	fishnet
n02801938	basket
n03871628	packet
n13022709	mycelium
n04322801	stock car
n03546235	housetop
n02508021	raccoon
n09627906	recipient
n03340723	finder
n02842573	biplane
n12922763	croton
n01573360	western meadowlark
n03233905	drawer
n02484473	Old World monkey
n02586543	snapper
n11725015	anemone
n12329260	crape myrtle
n04069276	reflector
n03760310	microprocessor
n03987266	portrait camera
n02764779	axle
n04315948	stereo
n04548280	wall clock
n12158443	pumpkin
n10380672	orator
n07684517	raisin bread
n07595914	powdered sugar
n04482177	tricorn
n01439514	carp
n01321579	young
n03098688	control room
n10674713	sumo wrestler
n10734394	twin
n12658118	mountain ash
n02382338	plow horse
n02085620	Chihuahua
n07691650	crescent roll
n12278650	cork oak
n01575401	red-winged blackbird
n03721384	marimba
n12710693	sweet orange
n11915899	everlasting
n03386011	fortress
n12830222	achimenes
n04081699	rest house
n02619165	goby
n04254777	sock
n10602985	sister
n05586759	exoskeleton
n03849679	openwork
n06272803	call
n03063599	coffee mug
n02739668	armor
n11665372	angiosperm
n03239726	drill
n04313628	stele
n02210427	andrena
n02279257	peacock
n12190410	kapok
n07873807	pizza
n01681940	horned lizard
n04525038	velvet
n13897996	balance
