n04403638	望远镜
n11990167	牛黄雏菊
n03397087	弗里兹
n03160309	坝
n11666854	双子叶双子叶植物
n10274815	下层阶级
n11733054	翠雀花
n10323634	主妇
n04590746	挡风玻璃雨刷器
n03911513	监狱
n02817516	熊皮
n10441962	全权代表
n03476313	发夹
n02114855	土狼
n11600372	苏铁
n10315561	米勒
n01918744	栉水母
n07691237	十字面包
n07760153	马斯喀特
n02492660	吼猴
n07873464	肉饭
n03151077	窗帘
n11676500	雌蕊
n02946921	罐头
n03518445	高脚椅
n10289039	男人
n01839330	多毛啄木鸟
n11728099	马什万寿菊
n04462240	玩具店
n03820318	网
n10602470	姊妹
n11958080	宇宙
n12987056	地衣
n07915094	金汤力
n03973402	袖珍皮瓣
n01612122	麻雀鹰
n11793779	马蹄莲
n02098286	西高地白梗
n03229244	定位销
n03098140	控制面板
n04122349	黑貂
n03571280	吸入器
n03942920	针头
n02705944	放大器
n04056932	人造丝
n03545756	卡屋
n04598318	木屋
n03389761	四轮驱动
n02416820	小孩
n11664418	银杏
n01961985	珍珠牡蛎
n03665924	灯泡
n03485794	手帕
n09823502	阿姨
n04263257	汤碗
n07616487	冰淇淋圣代
n07749969	葡萄柚
n04473108	横梁
n04272054	眼镜
n14976871	黑顶
n02095050	猎狐犬
n07750872	杏
n10147935	新郎
n04404817	电视天线
n01697178	鳄鱼
n02041246	海鸥
n02770830	后座
n12729729	紫柳
n02971691	墨盒
n12091953	多根原基
n12090890	报春花
n05218119	尸体
n07762913	榴莲
n09827363	宝贝
n11900569	罂粟
n04229816	滑雪面罩
n12914923	马鞭草
n04223299	背心
n03171356	防御结构
n01893825	刺猬
n02379908	阿拉伯人
n07903841	干邑
n02643566	狮子鱼
n10009276	探员
n12041446	兰花
n02449350	格尔顿
n10396106	小组成员
n03525454	持有人
n12785724	景天属植物
n03841143	里程表
n07880458	施尼采尔
n01594004	仙女蓝鸟
n04453156	牙刷
n04058096	阅览室
n04023249	冲床
n03141823	拐杖
n03108853	瓶塞
n02018027	黑锅
n10620758	社会学家
n04578934	搅打
n03767112	磨石
n02892499	玻璃钢
n10411551	小贩
n02814774	海滩装
n04543996	壁板
n09903501	大提琴家
n10040945	热切的海狸
n07756951	西瓜
n01887623	公牛
n01753959	蝮蛇
n01791463	红原鸡
n03256032	垃圾桶
n06267655	宪报
n01845132	水禽
n11925898	玛格丽特
n02091032	意大利灵缇
n07692614	甜卷
n11925303	非洲雏菊
n04373089	刀
n01548865	东方王鸟
n07731587	菊苣蔓藤
n12741222	香波梅
n03223553	门牌
n02063224	须鲸
n07720277	甜菜
n07710616	土豆
n03430418	凉亭
n10667477	造型师
n01850873	Canvasback
n01639765	青蛙
n07924276	花蜜
n03079230	光盘
n04107743	房间灯
n09376198	海洋
n04102406	过山车
n07726095	鹰嘴豆
n03544143	沙漏
n02056228	阿黛丽
n02946348	露营车
n12104501	牧草
n07574602	早餐
n03121431	法院大楼
n02700064	交流发电机
n02997607	陶瓷器皿
n02221414	木蚁
n03717622	人孔盖
n02050586	黑颈灰袍
n11978233	向日葵
n04233124	摩天大楼
n09619168	女性
n01877134	袋鼠
n02924116	公共汽车
n09433442	岸
n10249270	立法者
n07700003	意大利面条
n09436708	天空
n04099175	火箭
n01598588	伯劳鸟
n07721195	皮明托·皮明托
n03849814	歌剧院
n03175189	牛仔布
n01744401	巨蟒
n03252637	干墙
n07817024	韭菜
n01495493	天使鲨
n03722288	市场
n02585872	鱼
n09436444	滑雪坡道
n09972458	封面女郎
n02797295	手推车
n02873520	靴子
n07606764	吻
n04118021	地毯
n01811909	鸽子
n01576695	椋鸟
n12929403	茶花
n04252077	雪车
n02009380	白鹭
n03061505	驾驶舱
n02433318	休耕鹿
n04063868	记录
n03988170	邮递
n04311595	钢厂
n01732244	鼠蛇
n01905661	无脊椎动物
n12452836	皇冠帝国
n08521623	墓地
n01579578	寒鸦
n11971783	非洲雏菊
n02689274	气枪
n03397532	褶边
n02102605	水猎犬
n02098550	运动犬
n08578517	底栖生物
n04329834	防风门
n07808587	凉拌卷心菜
n12651821	果树
n02954340	帽子
n02212958	纸蜂
n02389559	家养驴
n04516672	器具
n10209082	教唆者
n01812337	鸽子
n04028764	塔架
n04560882	水跃
n03601840	托梁
n11808721	中国粉
n02820210	床上用品
n03683708	更衣室
n02097298	苏格兰猎犬
n01615458	厄恩
n01324431	食肉动物
n04549919	病房
n02892767	胸罩
n01611472	游隼
n07904395	杜松子酒
n03045800	衣帽间
n04560292	水壶
n01471682	脊椎动物
n07605944	砂糖
n04429376	宝座
n02733213	柱廊拱廊
n11669921	花
n04130257	色拉碗
n10042845	偏心
n12344283	月见草
n08640739	度假区
n02990373	天花板
n11624531	云杉
n03636248	灯
n01874928	负鼠负鼠
n02705201	圆形剧场
n02877266	奶瓶
n03005285	吊灯
n04141975	秤
n04242408	单桅帆船
n04043733	无线电接收器
n01793249	小母鸡
n04566257	武器
n07837362	白沙司
n12771390	日本柿子
n01860002	小号手
n03818343	霓虹灯
n02904803	锦缎
n10559288	学童
n03141065	巡洋舰
n11848479	夜绽放的蜡
n09249034	间隙
n02774630	行李
n03692522	路易
n09841188	酒保
n13001529	草甸蘑菇
n09618957	面对
n03637318	灯罩
n10141732	孙女
n03529444	土布
n07734292	圣女果
n04098513	摇杆
n03642806	笔记本电脑
n07737745	花生
n02124484	曼克斯猫
n07895839	梅洛
n07723559	生菜
n09913455	啦啦队长
n10393909	画家
n02310717	毛熊
n03018209	瓷器
n01482330	鲨鱼
n01563945	金冠
n01751472	大班
n03395859	菲涅耳透镜
n02509815	小熊猫
n02086910	乳头状突起
n01558594	黑鸟
n03007591	字符打印机
n12070016	蕾丽亚属
n12624381	开花梅花
n01622352	角枭
n03732458	马克西
n13001930	香菇
n03193597	内燃机车
n03991062	花盆
n02769075	背景
n04356056	太阳镜
n01528654	皮皮特
n03216828	码头
n09638875	白人
n10084295	女孩
n03604400	跨接器
n04197110	沉船事故
n06595351	杂志杂志
n03123917	牛铃
n02113186	开衫
n03770316	部
n01851895	野鸭
n06263609	印刷媒体
n11971248	加沙尼亚
n03120491	法院
n02729837	器具
n07914413	Daiquiri
n03508101	暖风器
n02806379	蝙蝠
n02381364	灰色
n04545858	对讲机
n11710136	南木兰
n03039259	泥鸽
n02789487	酒吧
n02398521	河马
n03940256	大头针
n09238926	洞穴
n04041069	散热器
n04594218	电线
n09452395	沼泽
n01816887	鹦鹉
n11736851	迷雾中的爱情
n02165456	瓢虫
n03548402	呼拉圈
n02041678	新的
n01915811	珊瑚
n03397947	飞盘
n02910353	搭扣
n07585557	鸡汤
n04201297	萧基
n11545524	蕨类植物
n13035241	假羊肚菌
n02879718	弓
n02408817	卡拉宝
n07804900	稻谷
n09622049	少年
n12433081	洋葱
n03592669	贾鲁西
n04400289	电信系统
n09245515	马戏团
n10439851	参与者
n02486410	狒狒
n12063639	响尾蛇车前草
n02311617	若虫
n01670802	巨龟
n03837422	桨
n04228693	滑雪帽
n03732114	陵墓
n03452741	大钢琴
n03421485	吊袜带
n12356023	普通生姜
n04519153	阀门
n07755411	甜瓜
n03378174	食品加工机
n10624540	作曲人
n04370048	毛衣
n03933933	码头
n12532564	大豆
n03408444	蒲团
n02960690	钩环
n04369282	拍
n02709367	锚
n02412080	随机存取存储器
n02219486	蚂蚁
n04530566	船舶
n02691156	飞机
n03063689	咖啡壶
n09409512	脊
n13032115	羊肚菌
n07690892	斯康
n03494278	口琴
n03115180	棉
n09906449	变色龙
n03857687	示波器
n11640132	水杉
n02236241	螳螂
n07874259	奶酪比萨
n04250224	狙击步枪
n02042180	笑海鸥
n04297750	彩色玻璃窗
n07764155	芒果
n08616050	牧场
n03786901	灰浆
n01317541	家养动物
n02692086	螺旋桨
n04447443	洗漱用品
n03463666	地被布
n09308572	冰山
n04021028	套衫
n01526521	歌鸟
n12752205	枫树
n10384392	孤儿
n12134025	黑麦
n11931918	紫菀
n03294833	橡皮擦
n02749479	突击步枪
n11821184	冰生植物
n11973341	树胶草
n12475242	三叶草
n01646292	蟾蜍
n09727440	菲律宾人
n07745466	覆盆子
n02456962	树懒
n07733712	羊羔肉
n04112752	胭脂
n03930630	皮卡
n01827403	翠鸟
n11762433	铅树
n01806143	孔雀
n04039848	雷达
n04332074	直剃刀
n09736945	乌干达
n02372584	海拉克
n02747177	烟灰缸
n11788727	金色波托斯
n07710283	根菜类
n11608250	松树
n07735404	欧洲防风
n10236304	亲属
n04524142	跳马
n02395003	猪
n07616046	酸奶冰淇淋
n02382948	赛马
n04326799	石方工程
n03416489	车库
n13238375	刺五加
n02404432	德克萨斯州长角市
n12429352	非洲百合
n02889646	刹车
n01859325	大天鹅
n12174311	阿尔泰
n04476116	拖网渔船
n07739125	苹果
n04187061	鞘
n04510706	万向节
n01597906	皮兰加·卢多维西亚西部Tanager
n03727465	主卧室
n12739332	槲寄生
n04398688	茶匙
n02131653	熊
n02740533	装甲车
n04379964	桌子
n10150071	警卫
n08505018	灌木
n10611613	侦探
n02777734	阳台
n04178329	古代世界七大奇观
n03613592	钥匙
n02402175	牛
n04469813	有轨电车
n12942395	欧芹
n02871439	书架
n04217882	招牌
n03484576	手铐
n01887787	奶牛
n07820145	迷迭香
n04341686	结构
n03567066	孵卵器
n02051845	鹈鹕
n02195526	马蝇
n03429137	转管枪
n03731695	锤
n09443641	泡沫
n04358707	超市
n09290444	峡谷
n04354026	凉亭
n07584423	罗宋汤
n02940570	来电显示
n07715721	西葫芦
n02746365	大炮
n04412097	帐篷里的苍蝇
n03478756	大厅
n03963645	操场
n02778456	捆包
n02009508	小白鹭
n03613294	钥匙
n07920989	摩卡
n09303528	山坡
n02686121	空中客车
n02028451	小黄蜂
n07568502	燕麦片
n04108822	索桥
n01673282	斑丘疹蝶形目
n01579260	乌鸦
n03288500	工程
n07868340	炒饭
n12961879	开花蕨类
n01641577	牛蛙
n03686924	木屋
n04468005	火车
n12642090	野樱桃
n09332890	湖滨
n07757312	甜樱桃
n02029706	旱地风笛手
n03854815	器官管
n09772930	奸淫
n02946127	钟楼
n02102040	英语斯普林格犬
n07574923	早午餐
n04285965	运动型多用途车
n03794056	捕鼠器
n07679356	面包
n04581829	灯芯锥度
n02056728	帝企鹅
n02342885	仓鼠
n12731401	杨树
n02807731	浴室
n02982232	弹射器
n07624466	人事变更率
n02034971	黑颈高跷
n04317420	粘贴
n09454153	距骨
n02836174	坐浴盆
n03351979	钓鱼竿
n09899671	伤员
n02770211	后廊
n07864934	辣椒
n07693972	饼干
n02416519	山羊
n03906224	木板
n04447861	马桶座
n04295881	体育场
n02999410	链
n12795555	绣线菊
n04564581	蜡像
n02321529	海参
n10718131	旅游者
n03378005	美食广场
n07902799	阿卡瓦特
n07758680	葡萄
n02071636	领航鲸
n02693246	机场航站楼
n12155009	纺织螺旋松
n03140292	十字架
n03616428	踢脚台
n04282872	分体式护栏
n03875806	彩弹
n07927197	软饮料
n04099003	摇臂
n07681450	查拉
n10037385	酒鬼
n06793231	签名
n11720643	草甸毛茛
n03207941	洗碗机
n02343320	金黄仓鼠
n04186051	剃须膏
n02739427	手臂
n02021795	海鸟
n04122685	香囊
n12043444	兰科植物
n01914609	海葵
n01848453	蓝翼
n11905392	加州罂粟花
n04044716	射电望远镜
n12651611	梨
n03878066	城堡
n03170635	深度冷冻
n02835724	自行车泵
n04045397	木筏
n02364520	豚鼠
n02050313	伟大的冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠冠
n01842235	巴贝特
n03678558	垃圾桶
n01855672	鹅
n07749731	石灰
n04115456	划艇
n04185071	卷笔刀
n07724943	豆
n01751748	海蛇
n02037869	红指甲
n03443912	护目镜
n02397096	疣猪
n02113023	彭布罗克
n07805594	鸟食
n04210390	圣地
n07906111	伏特加酒
n01610955	隼
n03051249	衣夹
n03000247	链邮件
n04366367	悬索桥
n12921868	荆棘冠冕
n04456115	火炬
n03066849	科兰德
n04529962	垂直安定面
n07843775	乳制品
n08492461	阿古拉
n03823111	笔尖
n11542640	苔类
n07869611	什锦饭
n10582746	军人
n03653833	瘦皮
n04433585	枕木
n04356595	太阳帽
n10756148	子爵
n01410457	池塘浮渣
n07573696	饭菜
n12854600	柠檬香膏
n03125057	CPU板
n09896170	漫画家
n15062057	灰泥
n12421683	水仙花
n10510245	海军少将
n03219135	娃娃娃娃
n03544360	房子
n04363777	外衣
n02920369	沙坑
n04270147	铲
n10638922	运动
n01622959	黄褐色猫头鹰
n03667664	光度计
n01695060	科莫多巨蜥
n09836786	皮卡多
n01851038	波查德
n02953455	坎特尔
n04118776	尺尺
n12172364	黄秋葵
n02864504	波莱罗
n03146846	耕耘机
n10514429	裁判
n03699975	机器
n09263912	峡谷
n03724417	捣碎机
n11719286	芍药芍药
n01848323	绿翼
n03279508	电子显微镜
n02108254	獒犬
n03717447	人孔
n02389346	驴
n12646740	杏花
n04122825	袋子
n02075296	食肉动物
n03436891	演出
n04281375	溅水板
n09265620	下降
n02801184	大教堂
n12683407	结痂
n07690273	松饼
n02509515	科蒂
n07882497	混合
n01805801	孔雀
n12454159	郁金香
n03773035	镜子
n02537085	鳟鱼
n07753592	香蕉
n03396074	烦恼
n02359915	东部花栗鼠
n02870526	书
n04197391	衬衫
n03680942	地方的
n02492035	Capuchin
n10153414	伙计
n03885535	食品储藏室
n01495701	射线
n03718335	压力计
n03625355	编织
n01861778	哺乳动物
n04097866	长袍
n01770393	蝎子
n09326662	小山
n09233446	峡谷
n02565324	大嘴鲈鱼
n03075946	命令模块
n13007417	平菇
n01559477	隐士鹅口疮
n03059685	蛛网
n01804163	金鸡
n02885882	售票处
n02411705	羊
n07898745	餐酒
n07858595	甜味剂
n04209613	淋浴间
n07803545	小麦
n02018207	美洲浣熊
n02776631	面包店
n12638218	李李
n07606538	薄荷糖
n02407390	弗里西亚语
n04230808	裙子
n03682487	锁
n03904657	山麓侵蚀
n03038685	教室
n03788365	蚊帐
n12343480	紫红色
n01607962	Buzzard
n02377291	种马
n03087366	聚光镜
n03354903	旗帜
n12590232	油棕
n10173771	赫尔
n02694662	闹钟
n03797182	消声器
n11783920	红掌
n02417387	安哥拉山羊
n03358726	闪光照相机
n10357613	侄女
n11811473	莱奇尼斯
n04059516	绞刀
n03256166	自卸车
n12582231	棕榈树
n04407686	寺庙
n04319937	踩高跷
n07890540	爱尔兰啤酒
n01664990	鹰嘴龟
n02688443	机翼
n02395694	小猪
n03859000	外侧电机
n07930554	用拳猛击
n04164868	秘书
n02627532	黄鳍金枪鱼
n01534155	白头燕雀
n01588002	棕色打浆机
n02727141	孔径
n04286575	聚光灯
n03061674	驾驶舱
n01318894	宠物
n03844815	油皮
n03517760	高保真音响系统
n04063373	录音机
n10202624	在职者
n03163222	仪表板
n04154565	螺丝起子
n04387400	铃鼓
n07696625	火腿三明治
n12950126	缬草
n03263076	屋檐
n10146104	大侄女
n07847453	凝块霜
n04252560	雪服
n03262809	画架
n12515925	鹰嘴豆
n07639069	甜甜圈
n10572706	国务卿
n02916179	推土机
n03547229	气垫船
n10382825	风琴师
n02801450	蛇怪
n02195819	蜂蝇
n01726692	蛇
n04225729	滑冰
n04613015	轭
n01617095	格里芬秃鹫
n03321103	风扇喷气发动机
n04258333	太阳能热水器
n01768244	三叶虫
n09728285	罗马尼亚语
n04273796	速度表
n10020890	医生
n01814921	信鸽
n02050809	达布奇克
n04357314	防晒霜
n03375575	箔
n03358380	闪光
n07826091	塔巴斯科
n10780632	妻子
n02767665	后面
n02804252	低音喇叭
n01803078	野鸡
n11618290	日本黑松
n04407435	寺庙
n03639497	陆上线路
n12831932	幻觉
n04204081	购物袋
n01617766	埃及秃鹰
n07887634	啤酒
n04431745	图钉
n10129825	姑娘
n02859443	船坞
n03345837	灭火器
n01826680	欧洲罗拉
n02431976	日本鹿
n10247880	拉丁语
n01849157	马尾
n03206908	盘
n07901587	酒
n12350758	美人蕉
n03888605	平行钢筋
n01580870	蓝松鸦
n09813219	艺术家的模特
n04354182	相扑戒指
n04391838	磁带
n03020034	芯片
n02536456	奇努克鲑鱼
n03822767	牛顿望远镜
n03675235	直线式
n02460451	蚂蚁熊
n12055516	兰花
n02370806	有蹄哺乳动物
n02799323	棒球帽
n04134008	沙袋
n09787765	大使
n10628644	君主
n04189282	薄片
n09816771	联合
n10079399	农夫
n02799175	棒球棒
n04005630	监狱
n03572321	墨水池
n04458633	图腾柱
n03711999	主桅
n04334599	街道
n03291963	信封
n01774750	狼蛛
n03322940	农业机械
n07742704	浆果
n07684938	香蕉面包
n03923379	药瓶
n03729826	火柴棍
n01787835	马蹄蟹
n04526964	呼吸机
n09894445	心脏病专家
n07735510	南瓜
n01935395	蚯蚓
n02469472	塔波尔
n02814860	灯塔
n11980318	施特劳斯
n03610418	小桶
n02412440	羔羊
n11953038	菊苣
n04177755	长椅
n10142391	爷爷
n02008796	鹭鸟
n07874780	粥
n07693725	百吉饼
n07920052	意大利浓咖啡
n01623110	条纹猫头鹰
n03148324	壁橱
n04401680	电话亭
n04432203	冠状头饰
n09205509	阿雷特
n02732827	凉亭
n07682197	克劳顿
n09217230	海滩
n02909870	桶桶
n12034141	Zinnia
n11875691	卷心菜
n09684901	斯瓦米
n02159955	昆虫
n13003061	蝇蘑菇
n03365592	地板
n01940736	软体动物
n07611046	果盘
n10377021	老妇人
n03380867	鞋
n02206856	蜜蜂
n12745386	红毛丹
n03744276	存储器
n07831267	番茄酱
n11969607	蓝色雏菊
n04227900	扦子
n07614500	冰淇淋
n12937130	野胡萝卜
n06596607	纸浆
n03091374	连接
n01755581	响尾蛇
n08524735	城市
n02127808	大猫
n04376400	合成器
n04127249	安全销
n03086457	音乐会大钢琴
n03399677	前廊
n12371439	猕猴桃
n02483362	长臂猿
n02751295	天文望远镜
n03237416	礼帽
n03506184	主轴箱
n03220513	穹顶
n02867715	轰炸机
n09918554	孩子
n03820728	网络
n12451915	贝母
n10739391	无名战士
n02916350	子弹子弹
n03878211	宫殿
n10694258	老师
n07879350	生鱼片
n11818069	常见的山鸡草
n11792742	臭鼬卷心菜
n04062428	躺椅
n02654425	箱鱼
n07718472	黄瓜黄瓜
n07838905	芥末酱
n04474466	陷阱
n03016737	鸡场鸡场
n02391994	犀牛
n07890352	粗壮的
n02010728	黑冠夜鹭
n03127203	曲轴箱
n03487642	递给我
n12633994	苹果
n03002948	酒杯
n02898369	砖砌体
n07890226	波特
n11621281	阿玛比利斯冷杉
n02484322	猴子
n03621377	厨具
n02403325	公牛
n11910271	流血的心
n01813948	澳大利亚斑鸠
n02098413	拉萨
n02084071	狗
n03939178	引水船
n01858441	天鹅
n12024445	常见蒲公英
n02121808	家猫
n03903424	踏板
n02405302	牦牛
n10622053	士兵
n04208427	铲子
n04409384	公寓
n03840681	奥卡丽娜
n12385429	梨属植物
n07867021	恩加拉达
n03063338	咖啡壶
n07730855	菊苣
n03819994	网
n03222516	门铃
n09676247	旁遮普
n07927931	可乐
n02002556	白鹳
n12367611	圣约翰草
n02168245	萤火虫
n04095210	河船
n10183931	仪仗队
n02172182	粪甲虫
n02190790	家蝇
n04404412	电视
n07911371	配制饮料
n08584914	墙上的洞
n01486838	护士鲨鱼
n07752966	醋栗
n12685831	克兰斯比尔
n07609840	甜点
n03854065	管风琴
n02805983	堡垒
n01829413	犀鸟
n04532831	振动器
n03767203	磨轮
n11879054	小白菜
n10624310	歌唱家
n05260240	庞巴杜
n06785654	纵横字谜
n03289660	放大机
n08628141	卡斯巴
n04231693	滑雪拖车
n01767661	节肢动物
n02287004	几何学
n03666362	发光二极管
n04482393	三轮车
n02527622	粥
n01455778	琵琶
n02180875	阔叶甲虫
n02447366	獾
n09846469	Beduin贝都因人
n10001481	煽动者
n02599958	乌鱼
n10182190	无家可归者
n01584225	雷恩
n03686130	阁楼
n12127768	鹅草
n01496331	电光
n01570676	黄喉
n01543632	爪哇雀
n04520784	叶片
n12771192	柿子
n01582220	喜鹊
n03633091	钢包
n03646916	晶格
n07815588	胡椒
n03219010	多莉
n12980840	霜霉病
n03450230	长袍
n02353861	地鼠
n04525417	单板
n10583387	殖民者
n07627931	泡芙酱
n09247410	云
n04371774	摆动
n01569060	布莱克本
n02683558	加力燃烧室
n10038409	公爵夫人
n12426623	山百合
n02537319	棕色鳟鱼
n02761834	汽车喇叭
n03788195	清真寺
n04563204	水车
n12807409	美国梧桐
n01536644	歌麻雀
n08547544	嵴
n02858304	船
n04277352	主轴
n07913393	血玛丽
n03586219	铁肺
n03074855	梳子
n01531971	卡杜利斯·霍尼曼尼·雷德波尔
n02626762	金枪鱼金枪鱼
n07884567	酒精
n01558993	罗宾
n02361337	旱獭
n03660909	图书馆
n02045864	Razorbill
n12909421	矮牵牛属
n12578916	豇豆
n01813385	斑鸠
n09421799	沙洲
n07590611	火锅
n12544539	扁豆
n11733312	飞燕草
n02065026	鳍鲸
n03889871	遮阳伞
n01752736	ASP
n03815149	领口
n02460009	食蚁兽
n02885462	拳击手套
n01503061	鸟
n10318293	工厂工人
n03541923	热气球
n03124170	牛仔帽
n07654148	烧烤
n02483708	合欢
n04437953	钟表
n03389889	四轮车
n02087551	猎犬
n13137409	浆果
n07860988	面团
n04112252	转子叶片
n02048353	簇状海雀
n03652100	铅铅笔
n01594787	谷仓燕子
n12606438	鸭跖草属
n07867421	火锅火锅
n03857828	示波器
n07920222	咖啡拿铁
n03443371	酒杯
n12703557	匍匐草属
n03788498	汽车旅馆
n07574780	欧式早餐
n02846511	黑板
n07691539	布里奥切
n02052204	白鹈鹕
n03150232	卷发器
n15067877	催泪瓦斯
n04064401	录音机
n07891433	米酒
n12793015	虎耳草
n07927512	汽水
n04594489	导线
n02731398	阿普斯
n01560793	石阵
n01593028	布什蒂特
n04610013	游艇
n02454379	犰狳
n07920872	摩卡
n03845190	油轮
n03885904	连裤袜
n10275395	忠诚的
n04156946	橹
n07579575	主菜
n12645174	杏仁
n04399158	茶壶
n03836062	托儿所
n12566954	葛根
n07734744	蘑菇
n09989502	舞蹈家
n04592465	酿酒厂
n11926833	山金车属
n02758960	高压灭菌器
n02655848	豪猪鱼
n03627232	结
n11636204	日本雪松
n08517676	公交站
